Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Legado Restaurante,,None Found,+52 287 162 0544,"Sebastián Ortiz 785, María Luisa, 68310 San Juan Bautista Tuxtepec, Oax., México",Restaurante, Cierra a las 11p.m.,San Juan Bautista Tuxtepec
"Restaurant/ bar ""La carreta""",facebook.com,None Found,+52 287 875 3880,"Puente Caracol Kilómetro 3, Bugambilias, 68300 San Juan Bautista Tuxtepec, Oax., México",Marisquería, Cierra a las 11p.m.,San Juan Bautista Tuxtepec
Restaurante El Pesebre,,None Found,+52 8759500,"Manuel Ávila Camacho 839, María Luisa, 68310 San Juan Bautista Tuxtepec, Oax., México",Restaurante, Cierra a las 10:55p.m.,San Juan Bautista Tuxtepec
El jardín del sabor,,None Found,+52 287 101 8480,"68350 Fovisste Las palmas de, Manzana 5, Martha Luz, Lote 36 68350 San Juan Bautista Tuxtepec, Oax., México",Restaurante, Abre a las 8a.m.,San Juan Bautista Tuxtepec
La Palapa de Carlin,,None Found,+52 287 878 4731,"Segunda, El Trigal, 68375 San Juan Bautista Tuxtepec, Oax., México",Marisquería, Abre a las 11a.m.,San Juan Bautista Tuxtepec
Restaurant El tismiche,,None Found,+52 287 120 1739,"Gladiolas 85, Residencial del Sur, 68375 San Juan Bautista Tuxtepec, Oax., México",Restaurante familiar, Abre a las 10a.m.,San Juan Bautista Tuxtepec
Restaurante El Jibarito,facebook.com,None Found,+52 287 109 4258,"Francisco Fernández 1491, Santa Fe, 68310 San Juan Bautista Tuxtepec, Oax., México",Restaurante familiar, Abre a las 8a.m.,San Juan Bautista Tuxtepec
Espadas Casa Blanca,,None Found,+52 287 875 6520,"Avenida, 5 de Mayo 438, 68300 San Juan Bautista Tuxtepec, Oax., México",Restaurante, Abre a las 8a.m.,San Juan Bautista Tuxtepec
Restaurante Paso Real,,None Found,+52 287 871 0249,"Av. Independencia 584, Centro, 68300 San Juan Bautista Tuxtepec, Oax., México",Restaurante, 7:30a.m.,San Juan Bautista Tuxtepec
Salsa Restaurante,,None Found,+52 287 690 8224,"Av. Emiliano Zapata 26, 68446 San Bartolo, Oax., México",Restaurante, Abre a las 10a.m.,San Juan Bautista Tuxtepec
Restaurante Barro Negro | Tuxtepec,villaesmeralda.mx,None Found,+52 287 875 7919,"Artículo 123 74, María Luisa, 68310 San Juan Bautista Tuxtepec, Oax., México",Restaurante, 7:30a.m.,San Juan Bautista Tuxtepec
