Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
La Cueva Del Oso,,None Found,+52 427 244 0303,"Blvrd Pablo Cabrera 83, Centro, 76800 San Juan del Río, Qro., México",Restaurante, Abre a la 1p.m.,San Juan del Río
El Fogón Mexicano,,None Found,+52 427 272 5491,"C. Miguel Hidalgo 78-b, Centro, 76800 San Juan del Río, Qro., México",Restaurante mexicano, Abre a las 8a.m.,San Juan del Río
Campo Bravo,,None Found,+52 427 272 4445,"Panamericana Kilómetro 171, Centro, 76800 San Juan del Río, Qro., México",Bar restaurante, Abre a la 1p.m.,San Juan del Río
LUCCINA RISTORANTE,luccina.mx,None Found,+52 442 628 4998,"Plaza Finesse, Av México 96, Nuevo Parque Industrial, 76806 San Juan del Río, Qro., México",Restaurante italiano, Abre a las 8a.m.,San Juan del Río
Restaurante La Venta,hotelhaciendalaventa.com.mx,Comida internacional servida en un comedor con terraza y jardines en el interior del Hotel Hacienda La Venta.,+52 427 272 9625,"LA VENTA HOTEL HACIENDA, México 45 #3, La Venta, 76800 San Juan del Río, Qro., México",Restaurante, Abre a las 7a.m.,San Juan del Río
El Corral de la Vaca,facebook.com,"Carnes asadas y cocina internacional en un comedor cálido con ambiente campestre, techo alto y terraza amplia.",+52 427 272 5118,"México 45 Km. 171, Centro, 76800 San Juan del Río, Qro., México",Restaurante, Abre a la 1p.m.,San Juan del Río
"El Mesón de Don Jorge, restaurante",facebook.com,None Found,+52 427 688 0070,"Av. Juárez Pte. 52, Centro, 76800 San Juan del Río, Qro., México",Bar restaurante, Abre a las 11a.m.,San Juan del Río
Parrilla Norteña Carnes Y Quesos Al Carbón San Juan Del Rio,,None Found,+52 427 272 0618,"Plazuela Guadalupe Victoria 8-b, Centro, 76800 San Juan del Río, Qro., México",Restaurante especializado en chuletas, Cierra a las 10p.m.,San Juan del Río
Los Cochinitos San Juan del Río,loscochinitos.com.mx,Comedor rápido y amplio con ventanas grandes que sirve cocina mexicana incluyendo su especialidad carnitas.,,"Carretera Mexico-Queretaro km. 152, Puerta de Palmillas, 76837 San Juan del Río, Qro., México",Restaurante mexicano, Abre a las 8a.m.,San Juan del Río
Toks San Juan del Rio,toks.com.mx,None Found,+52 427 272 8602,"Paseo Central 183, Valle de Oro, 76803 San Juan del Río, Qro., México",Restaurante mexicano, Abre a las 7a.m.,San Juan del Río
La Leyenda,laleyendasjr.com,None Found,+52 427 116 3708,"Fulton 91, Valle de Oro, 76803 San Juan del Río, Qro., México",Restaurante, Abre a las 8a.m.,San Juan del Río
Viva La Vida,vivalavida.ferremobil.com,None Found,+52 427 272 7000,"Independencia 65, Centro, 76800 San Juan del Río, Qro., México",Restaurante, Abre a las 8a.m.,San Juan del Río
RESTAURANT CASA GABRIEL,,None Found,+52 427 272 2370,"76800, Av. Benito Juárez Ote. 48, Centro, San Juan del Río, Qro., México",Restaurante, Abre a las 8a.m.,San Juan del Río
Restaurant Bar Los Generales Revolucionarios,,None Found,+52 427 138 0691,"Paseo Central 121, Betania, 76805 San Juan del Río, Qro., México",Bar restaurante, Abre a las 12:30p.m.,San Juan del Río
Abolengo Restaurant y Cafetería,,None Found,+52 427 272 5262,"Dr. Ruiz Olloqui 5, Centro, 76800 San Juan del Río, Qro., México",Restaurante, Abre a las 8a.m.,San Juan del Río
LA FINCA DE DON PEPE RESTAURANTE,,None Found,+52 427 272 2953,"Calle 5 Pte. 16, Valle de Oro, 76803 San Juan del Río, Qro., México",Restaurante, Abre a las 8a.m.,San Juan del Río
Restaurante Campestre Santa María,,None Found,+52 427 272 9685,"C. Constituyentes 50 ""A, Valle de Oro, 76802 San Juan del Río, Qro., México",Restaurante mexicano, Abre a las 9:30a.m.,San Juan del Río
La Comadre Culichi,,None Found,+52 427 116 9805,"De La Vía 51, Del Nuevo Espíritu Santo, Barrio del Nuevo Espiritu Santo, 76800 San Juan del Río, Qro., México",Marisquería, Abre a las 12:30p.m.,San Juan del Río
Puerto San Juan Mariscos & Carnes,puertosanjuan.com,None Found,+52 427 272 1378,"76821, Alcántara 6, Nuevo Espiritu Santo, 76803 San Juan del Río, Qro., México",Marisquería, Abre a las 12p.m.,San Juan del Río
Café La Parroquia,,None Found,,"Fundadores 3, Centro, 76800 San Juan del Río, Qro., México",Cafetería, Abre a las 8:30a.m. del lun,San Juan del Río
Arrachera cocina de brasa,,None Found,+52 427 264 8307,"76803, C. 7 Ote., Sin Nombre, San Juan del Río, Qro., México",Restaurante especializado en filetes, Abre a la 1p.m.,San Juan del Río
Sorgo Rojo,sorgorojorestaurante.com,None Found,+52 427 204 2534,"un costado del Portal del Diezmo, Av. Benito Juárez Ote. 09 A, Centro, 76800 San Juan del Río, Qro., México",Restaurante,,San Juan del Río
La Nueva Ola,,None Found,+52 427 272 3777,"76800, Calle Gral. Mariano Abasolo 3, Centro, San Juan del Río, Qro., México",Marisquería, Abre a las 8a.m.,San Juan del Río
La Nueva Ola,,None Found,+52 427 272 3777,"76800, Calle Gral. Mariano Abasolo 3, Centro, San Juan del Río, Qro., México",Marisquería, Abre a las 8a.m.,San Juan del Río
Restaurante Gloria Alina,,None Found,,"Carretera San Juan del Río - Tequisquiapan Kilómetro 6, San Pedro, 76800 San Juan del Río, Qro., México",Restaurante, Abre a las 8a.m.,San Juan del Río
La Harinera,,None Found,+52 427 274 6255,"C. Constituyentes 16_6, Centro, 76800 San Juan del Río, Qro., México",Restaurante, Abre a las 2p.m.,San Juan del Río
Flamin Wings San Juan del Río,flaminwings.com,None Found,+52 427 191 8825,"Panamericana a Querétaro 202, La Venta, 76800 San Juan del Río, Qro., México",Restaurante mexicano, Cierra a las 12p.m. ,San Juan del Río
SushiZú,wa.me,None Found,+52 427 236 1942,"Blvrd Pablo Cabrera #111, Centro, 76800 San Juan del Río, Qro., México",Restaurante japonés, Abre a las 11a.m.,San Juan del Río
MARISQUERIA SOLO VERACRUZ ES BELLO,marisqueriasoloveracruzesbello.com,None Found,+52 427 272 9724,"C. Constituyentes 10-A, Centro, 76800 San Juan del Río, Qro., México",Marisquería, Abre a las 9a.m.,San Juan del Río
Restaurante Tangolunda,,None Found,+52 427 264 0686,"Jacarandas 23, Santa Cruz Nieto, 76804 San Juan del Río, Qro., México",Restaurante, Abre a las 8a.m.,San Juan del Río
Allegretto Ristorante,,None Found,+52 427 272 0136,"Paso de los Guzmán 52, 76800 San Juan del Río, Qro., México",Restaurante italiano, Abre a la 1p.m.,San Juan del Río
San Cruditas,,None Found,+52 427 274 8574,"Blvrd Pablo Cabrera, Jardines de San Juan, 76800 San Juan del Río, Qro., México",Restaurante, Abre a las 12p.m.,San Juan del Río
Vips San Juan Del Rio,vips.com.mx,None Found,+52 72648179,"Paseo Central 18, Valle de Oro, 76802 San Juan del Río, Qro., México",Restaurante mexicano, Abre a las 7a.m.,San Juan del Río
Doña Meche,facebook.com,None Found,,"C. Cuauhtémoc 44, Centro, 76800 San Juan del Río, Qro., México",Restaurante, Abre a la 1p.m. del lun,San Juan del Río
Shirushi San Juan del Río,,None Found,+52 427 264 8255,"local 6, Colonia, Fulton # 34, Valle de Oro, 76803 San Juan del Río, Qro., México",Restaurante japonés, Abre a la 1:30p.m.,San Juan del Río
Shirushi San Juan del Río,,None Found,+52 427 264 8255,"local 6, Colonia, Fulton # 34, Valle de Oro, 76803 San Juan del Río, Qro., México",Restaurante japonés, Abre a la 1:30p.m.,San Juan del Río
"RESTAURANTE LA TAYUELA SAN JUAN DEL RIO, QRO.",,None Found,+52 442 628 5548,"Panamericana a Querétaro 172, La Venta, 76800, 76820 San Juan del Río, Qro., México",Restaurante, Abre a las 8a.m.,San Juan del Río
Carnes asadas El Rodeo,,None Found,+52 427 264 0815,"C. Constituyentes 50, Valle de Oro, 76802 San Juan del Río, Qro., México",Restaurante mexicano, Abre a las 12p.m.,San Juan del Río
El Arbolito San Juan (Corregidora),elarbolitosjr.ola.click,None Found,+52 427 117 1155,"C. Corregidora 152 A, Centro, 76800 San Juan del Río, Qro., México",Restaurante, Abre a las 8a.m.,San Juan del Río
Birria Jauregui San Juan del Rio,facebook.com,None Found,+52 446 310 0187,"C. Constituyentes 52, Valle de Oro, 76803 San Juan del Río, Qro., México",Restaurante mexicano, Abre a las 8:30a.m.,San Juan del Río
"Restaurante ""Plaza""",facebook.com,None Found,,"Av. Benito Juárez Ote. 1, Centro, 76800 San Juan del Río, Qro., México",Bar restaurante, Abre a las 9a.m.,San Juan del Río
Bisonte,,None Found,+52 427 101 7232,"C. Constituyentes 13, Centro, 76800 San Juan del Río, Qro., México",Restaurante, Abre a la 1p.m.,San Juan del Río
Restaurante Familiar PASHANGA,,None Found,+52 427 176 0796,"Río Pánuco 60, San Cayetano, 76806 San Juan del Río, Qro., México",Restaurante mexicano, Abre a las 12p.m. del lun,San Juan del Río
Pepinillo's,pepinillos.com.mx,None Found,+52 427 272 2954,"Blvrd Pablo Cabrera 62, Los Alamos, 76800 San Juan del Río, Qro., México",Hamburguesería, Abre a las 2:30p.m.,San Juan del Río
Antojitos (Ale),,None Found,+52 427 264 8649,"Sta. Cruz, La Loma, 76804 San Juan del Río, Qro., México",Restaurante mexicano, Abre a las 9:30a.m. del lun,San Juan del Río
Nixcomel Restaurante,,None Found,,"Av. Lic. Benito Juárez Pte. 17, Centro, 76800 San Juan del Río, Qro., México",Restaurante mexicano, Abre a las 9a.m. del lun,San Juan del Río
La Bikina (Sucursal Centro),,None Found,+52 427 101 2644,"Mariano Matamoros 5, Centro, 76800 San Juan del Río, Qro., México",Restaurante, Abre a las 8:30a.m.,San Juan del Río
Restaurante Black House,facebook.com,None Found,+52 427 102 4896,"Av Río Moctezuma 107, Nuevo San Juan, 76807 San Juan del Río, Qro., México",Restaurante, Abre a las 9a.m.,San Juan del Río
El Lugar,,None Found,+52 427 272 8563,"C. Jose Maria Morelos 76, Centro, 76800 San Juan del Río, Qro., México",Restaurante, Abre a las 11a.m. del lun,San Juan del Río
La Capilla Sjr,facebook.com,None Found,+52 427 165 2200,"Independencia 19, Centro, 76800 San Juan del Río, Qro., México",Restaurante de desayunos, Abre a las 9a.m.,San Juan del Río
El Vitral Café,,None Found,,"Av. Lic. Benito Juárez Pte. 5, Centro, 76800 San Juan del Río, Qro., México",Restaurante, Abre a las 10a.m.,San Juan del Río
Finca Santa VeraCruz San Juan del Río Centro,finca.com.mx,None Found,+52 427 272 4474,"Av. Benito Juárez Ote. No.10, Centro, 76800 San Juan del Río, Qro., México",Cafetería, Abre a las 7:30a.m.,San Juan del Río
Finca Santa VeraCruz San Juan del Río Centro,finca.com.mx,None Found,+52 427 272 4474,"Av. Benito Juárez Ote. No.10, Centro, 76800 San Juan del Río, Qro., México",Cafetería, Abre a las 7:30a.m.,San Juan del Río
"TAQUERIA ""EL AMIGO""",,None Found,+52 427 101 2559,"Av, Blvrd Pablo Cabrera #73, Centro, 76800 San Juan del Río, Qro., México",Taquería, Cierra a las 6a.m. ,San Juan del Río
Restaurant Mary's,,None Found,+52 427 272 7331,"C. Constituyentes 2, Centro, 76800 San Juan del Río, Qro., México",Restaurante mexicano, Abre a las 10:30a.m.,San Juan del Río
LA CHILAQUERIA DE SAN JUAN,,None Found,+52 427 194 9898,"Av México 59, México, 76805 San Juan del Río, Qro., México",Restaurante de brunch, Abre a las 8a.m. del mar,San Juan del Río
Pozoleria La Fuente del Maiz,,None Found,+52 427 264 1836,"Av de los Patos 142, Indeco, 76806 San Juan del Río, Qro., México",Restaurante mexicano, Abre a las 11a.m.,San Juan del Río
A Las Crepas,,None Found,+52 427 166 5306,"José Maria Arteaga 19, Centro, 76800 San Juan del Río, Qro., México",Restaurante, Abre a las 5p.m.,San Juan del Río
El Café del Baúl,,None Found,+52 427 275 6054,"Castillo de Chapultepec 4, Juárez, 76800 San Juan del Río, Qro., México",Cafetería, Abre a las 8:30a.m.,San Juan del Río
Rebel Wings San Juan del Rio,rebelwings.mx,None Found,+52 427 274 6760,"C. Miguel Hidalgo 175, Centro, 76800 San Juan del Río, Qro., México",Restaurante de alas de pollo, Abre a las 11a.m.,San Juan del Río
Rebel Wings San Juan del Rio,rebelwings.mx,None Found,+52 427 274 6760,"C. Miguel Hidalgo 175, Centro, 76800 San Juan del Río, Qro., México",Restaurante de alas de pollo, Abre a las 11a.m.,San Juan del Río
Restaurante El Patio,hotelcolonialsanjuan.com.mx,None Found,+52 427 272 6731,"Av. Juárez Pte. 30, Centro, 76800 San Juan del Río, Qro., México",Restaurante, Abre a las 8a.m.,San Juan del Río
La Puerta Negra Restaurante,facebook.com,None Found,+52 427 186 8397,"C. Corregidora 2, Centro, 76800 San Juan del Río, Qro., México",Restaurante,,San Juan del Río
PizzaCO,,None Found,+52 427 120 7733,"Xicoténcatl, San Juan Bosco, 76807 San Juan del Río, Qro., México",Pizzería, Abre a la 1p.m.,San Juan del Río
Las Alas San Juan del Río,sites.google.com,None Found,+52 427 279 4380,"Av Río Moctezuma 216, San Cayetano, 76806 San Juan del Río, Qro., México",Restaurante, Abre a las 3p.m.,San Juan del Río
Pozoleria 5 Estrellas,,None Found,+52 427 112 2479,"76800, Emiliano Zapata 1, Centro, 76800 San Juan del Río, Qro., México",Restaurante mexicano, Abre a las 3:30p.m. del lun,San Juan del Río
Las Choapas Mar y Tierra - Bar,laschoapas.com.mx,None Found,+52 427 192 0001,"Av. Benito Juárez Ote. 30-Int 1, Centro, 76800 San Juan del Río, Qro., México",Bar restaurante, Abre a la 1p.m.,San Juan del Río
Santas Alitas San Juan del Río,santasalitas.com,None Found,+52 427 166 7788,"Paseo Central. 28 LC 2B, 76803 San Juan del Río, Qro., México",Restaurante de comida rápida,,San Juan del Río
Santas Alitas San Juan del Río,santasalitas.com,None Found,+52 427 166 7788,"Paseo Central. 28 LC 2B, 76803 San Juan del Río, Qro., México",Restaurante de comida rápida,,San Juan del Río
El Rodeo Carnes y Quesos Al Carbón,,None Found,+52 427 272 4218,"C. José María Pino Suárez Sur 124, Ramos Millan, 76806 San Juan del Río, Qro., México",Restaurante especializado en filetes, Abre a la 1p.m.,San Juan del Río
Fonda Pancho Villa,,None Found,+52 427 272 4932,"Gral. Francisco Villa 15, San Juan Bosco, 76807 San Juan del Río, Qro., México",Restaurante, Abre a las 9a.m. del lun,San Juan del Río
The Wings San Juan del Río,,None Found,,"Av. Benito Juárez Ote. 89, Centro, 76800 Centro, Qro., México",Restaurante, Abre a las 2p.m.,San Juan del Río
Mi antiguo San Juan,,None Found,+52 427 119 6254,"Mariano Jiménez 13, Centro, 76800 San Juan del Río, Qro., México",Restaurante mexicano, Abre a las 10a.m. del lun,San Juan del Río
Restaurante La Castañeda San Juan del Río,,None Found,+52 712 299 6124,"avenida bento, Av. Juárez Pte. 167, Centro, 76800 San Juan del Río, Qro., México",Marisquería, Abre a las 8a.m.,San Juan del Río
Restaurante bar los murales,,None Found,,"Betania 5, Betania, 76807 San Juan del Río, Qro., México",Bar restaurante, Abre a la 1p.m.,San Juan del Río
Antojitos Praderas,m.facebook.com,None Found,+52 55 2857 8267,"Prof. Mercedes Camacho, Praderas del Sol, 76804 San Juan del Río, Qro., México",Restaurante, Abre a las 6p.m.,San Juan del Río
McDonald´s San Juan Del Río,mcdonalds.com.mx,Clásica cadena de comida rápida de larga trayectoria conocida por sus hamburguesas y papas fritas.,,"C. Miguel Hidalgo 243, Centro, 76807 San Juan del Río, Qro., México",Restaurante de comida rápida, Abre a las 7a.m.,San Juan del Río
McDonald´s San Juan Del Río,mcdonalds.com.mx,Clásica cadena de comida rápida de larga trayectoria conocida por sus hamburguesas y papas fritas.,,"C. Miguel Hidalgo 243, Centro, 76807 San Juan del Río, Qro., México",Restaurante de comida rápida, Abre a las 7a.m.,San Juan del Río
De Alicia Azuara,,None Found,+52 427 120 6594,"S. Salas 1, Los Naranjos, 76800 San Juan del Río, Qro., México",Restaurante de cocina criolla, Abre a las 9a.m. del lun,San Juan del Río
Parador Turístico San Pedro (Palmillas Qro),paradorturisticosanpedro.com.mx,None Found,+52 427 266 2298,"Autop. México - Querétaro Km 150, 76837 Puerta de Palmillas, Qro., México",Área de descanso,,San Juan del Río
"Cecina de Yecapixtla """,,None Found,+52 735 148 3486,"Pte. 2 8, Santa Fe, 76801 San Juan del Río, Qro., México",Restaurante, Abre a las 8a.m.,San Juan del Río
Pizzeria Trattoria Michelangelo,,None Found,+52 443 907 4309,"16 de Septiembre, Centro, 76800 San Juan del Río, Qro., México",Restaurante italiano, Abre a las 2p.m.,San Juan del Río
Sonder By Abuelitas,,None Found,+52 427 101 7881,"Av. Benito Juárez Ote. 82-Oriente, Centro, 76800 San Juan del Río, Qro., México",Restaurante, Abre a las 9a.m.,San Juan del Río
"Carnitas ""EL CAMINO""",,None Found,,"Centro, 76800 San Juan del Río, Qro., México",Restaurante, Abre a las 9a.m.,San Juan del Río
"Carnitas ""EL CAMINO""",,None Found,,"Centro, 76800 San Juan del Río, Qro., México",Restaurante, Abre a las 9a.m.,San Juan del Río
Micheladas A&R,,None Found,+52 427 182 3511,"Av. 1 Pte. 11, Valle de Oro, 76803 San Juan del Río, Qro., México",Bar restaurante, Abre a la 1p.m.,San Juan del Río
"Comida China, Fuhua 富华中餐馆",,None Found,+52 282 129 9386,"C. Miguel Hidalgo 77, Centro, 76800 San Juan del Río, Qro., México",Restaurante chino,,San Juan del Río
Prime Wings,qrco.de,None Found,+52 427 202 3550,"AVENIDA PASEO CENTRAL , ESQUINA RIO EXTORAS 3 INT 8 AVENIDA PASEO CENTRAL ESQUINA, Río Extoras 3-Int 8, 76807 San Juan del Río, Qro., México",Bar restaurante,,San Juan del Río
El Arbolito San Juan (Juarez),elarbolitosjr.ola.click,None Found,+52 427 213 4687,"Av. Lic. Benito Juárez Pte. 17, Centro, 76800 San Juan del Río, Qro., México",Restaurante, Abre a las 7a.m.,San Juan del Río
Galerías San Juan del Río,galerias.com,None Found,+52 427 274 8848,"Panamericana Poniente 202, Centro, 76800 San Juan del Río, Qro., México",Centro comercial, Abre a las 11a.m.,San Juan del Río
Pasteko San Juan del Río,pasteko.com,None Found,+52 427 274 6189,"Av. Lic. Benito Juárez Pte. 26, Centro, 76800 San Juan del Río, Qro., México",Restaurante, Abre a las 11a.m. del lun,San Juan del Río
Taqueria La Casita De Los Patos,,None Found,+52 427 299 8115,"C. Constituyentes 16, Santa Fe, 76903 San Juan del Río, Qro., México",Taquería, Abre a la 1p.m. del lun,San Juan del Río
Taqueria La Casita De Los Patos,,None Found,+52 427 299 8115,"C. Constituyentes 16, Santa Fe, 76903 San Juan del Río, Qro., México",Taquería, Abre a la 1p.m. del lun,San Juan del Río
Alegría’s Pizza Gourmet,,None Found,+52 427 264 2135,"Av Río Moctezuma 127, Z/O Secc 8, San Cayetano 3ra Secc, 76806 San Juan del Río, Qro., México",Pizzería, Abre a la 1p.m.,San Juan del Río
"Tacos de cecina "" El Primo""",facebook.com,None Found,+52 427 150 9040,"Castillo de Chapultepec 19, San Juan Bosco, 76808 San Juan del Río, Qro., México",Taquería, Abre a las 9a.m. del lun,San Juan del Río
La Carreta de Mazatlán - Mariscos y Cerveza,facebook.com,None Found,+52 427 122 6121,"Álvaro Obregón 85 Local 3 frente a las canchas de fútbol 7, Santa Fe, 76801 San Juan del Río, Qro., México",Marisquería, Abre a las 11:30a.m.,San Juan del Río
Tortas Gigantes La Michoacana,,None Found,+52 427 274 4991,"Av Río Moctezuma 144, San Cayetano, 76806 San Juan del Río, Qro., México",Restaurante de comida rápida, Abre a las 8a.m. del lun,San Juan del Río
Restaurante Xin Yuan comida china buffet,,None Found,,"Paseo Central 183-No. 19, Valle de Oro, 76803 San Juan del Río, Qro., México",Restaurante, Abre a las 10:30a.m.,San Juan del Río
Taqueria neto,,None Found,+52 55 6907 7949,"Sta. Fe, Santa Fe, 76803 San Juan del Río, Qro., México",Taquería,,San Juan del Río
Jc Burger Taco,,None Found,+52 427 272 3266,"Ana 4, Centro, 76800 San Juan del Río, Qro., México",Restaurante de comida rápida, Abre a las 2p.m.,San Juan del Río
La Fortaleza de Brasil (SJR),facebook.com,None Found,,"C. Miguel Hidalgo 229, Centro, 76807 San Juan del Río, Qro., México",Restaurante brasileño, Abre a las 12p.m.,San Juan del Río
