Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Cielo Tinto,facebook.com,Antigua hacienda con decoración romántica que ofrece margaritas y gastronomía mexicana elegante.,+52 444 168 3800,"Av. Venustiano Carranza 700, centro, 78250 San Luis Potosí, S.L.P., México",Restaurante, Cierra a las 11p.m.,San Luis Potosí
La Casa de la Arrachera,casadelaarrachera.com,"Local de carretera con buffet de tenedor libre de sopas, estofados y carne a la parrilla estilo mexicano.",+52 444 824 0777,"Av. Julián de los Reyes, Calle Centerario Villa de Pozos 415, 78421 San Luis Potosí, S.L.P., México",Restaurante, 8p.m. ,San Luis Potosí
Gozosa Restaurante,,None Found,+52 444 824 2559,"Avenida, C. Julián de los Reyes 348, Villa de Pozos, 78421 San Luis Potosí, S.L.P., México",Restaurante mexicano, Abre a las 12p.m. del dom,San Luis Potosí
La Oruga y La Cebada,laorugaylacebada.com.mx,"Bar agradable de ladrillo y cielorraso con vigas de madera; hay cocteles, cerveza artesanal y comida de pub.",+52 444 334 5736,"Avenida Universidad 169, Centro, 78000 San Luis Potosí, S.L.P., México",Restaurante mexicano, Cierra a las 12a.m.,San Luis Potosí
TrasHumante,trashumante.com.mx,"Cantina y patio a la moda con comida mexicana moderna, pizza, costillas y una larga lista de vinos.",+52 444 811 6093,"Av. Venustiano Carranza 2030, Col del Valle, 78220 San Luis Potosí, S.L.P., México",Restaurante mexicano,,San Luis Potosí
Restaurante La Parroquia Potosina,facebook.com,"Restaurante sencillo con comida casera tradicional, desayuno y buffet.",+52 444 812 6681,"Av. Venustiano Carranza 303, Centro Historico, 78000 San Luis Potosí, S.L.P., México",Restaurante mexicano, Cierra a las 11p.m.,San Luis Potosí
Café Corta'o,facebook.com,None Found,+52 444 128 8172,"C. Independencia 1150, Centro, 78000 San Luis Potosí, S.L.P., México",Restaurante mexicano, Cierra a las 9p.m.,San Luis Potosí
Gran Central,,None Found,+52 444 813 0302,"Av. Sierra Leona 710, Garita de Jalisco, 78294 San Luis Potosí, S.L.P., México",Restaurante, Cierra a las 12a.m.,San Luis Potosí
Mochomos San Luis Potosí,mochomos.mx,None Found,+52 444 773 6763,"Exterior Q, Edificio Tangente 52, Calle Andador, Pl. Lomas Interior 30 C, Lomas del Tecnologico, 78215 San Luis Potosí, S.L.P., México",Restaurante, Cierra a las 12a.m.,San Luis Potosí
Cuatro Almas,cuatroalmas.mx,None Found,+52 444 652 9008,"Sierra Pedroso 105, Lomas Cuarta Sección, 78216 San Luis Potosí, S.L.P., México",Restaurante, Abre a las 8a.m. del dom,San Luis Potosí
Restaurante La Gran Vía,lagranviaslp.com,Restaurante de lujo con decoración antigua donde se ofrece comida internacional y tradicional española.,+52 444 812 2899,"Av. Venustiano Carranza 560, Centro Historico, 78200 San Luis Potosí, S.L.P., México",Restaurante de cocina española, Cierra a las 12a.m.,San Luis Potosí
Los Toneles,lostoneles.mx,"Restaurante con vigas y pisos de madera en el que se ofrecen carnes, asados y mariscos al estilo mexicano.",+52 8524040,"Av. Estatuto Jurídico 1040, Burocrata, 78270 San Luis Potosí, S.L.P., México",Restaurante, Cierra a la 1a.m.,San Luis Potosí
