Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
El Gusto de Puebla,,Restaurante amoblado de manera tradicional con platos mexicanos en una atmósfera relajada y mesas al aire libre.,+52 81 8352 0375,"Lope de Vega 100, Anáhuac, 66450 San Nicolás de los Garza, N.L., México",Restaurante mexicano, Cierra a las 12a.m.,San Nicolás de los Garza
Los Nogales,losnogales.mx,"Restaurante casual con terraza decorado en madera en donde se ofrecen antojitos, cortes y platillos mexicanos.",+52 81 8332 4045,"Plaza La Joya, Av. Manuel L. Barragán 550, entre Calle Quinta y Calle Tenochtitlán, Residencial Anahuac 3er Sector, 66450 San Nicolás de los Garza, N.L., México",Restaurante mexicano, 11p.m. ,San Nicolás de los Garza
La Cabaña de Mamá,instagram.com,None Found,+52 81 8330 0041,"C. 4 135, Jardines de Anáhuac, 66463 San Nicolás de los Garza, N.L., México",Restaurante mexicano, Cierra a las 11:30p.m.,San Nicolás de los Garza
El Gran Pastor,,None Found,+52 81 8134 0804,"Santiago Tapia 304, Centro, 66400 San Nicolás de los Garza, N.L., México",Restaurante mexicano, 11p.m. ,San Nicolás de los Garza
Cantina-Restaurant La Fama,,None Found,+52 81 8353 7517,"Miguel Hidalgo Y Costilla 101, Centro, 66400 San Nicolás de los Garza, N.L., México",Restaurante, Cierra a las 11:30p.m.,San Nicolás de los Garza
Los Legendarios Romulo Garza,,None Found,+52 81 2211 7404,"Av. Rómulo Garza 1116, Hacienda los Morales 3er Sector, 66495 San Nicolás de los Garza, N.L., México",Restaurante, Cierra a las 12a.m.,San Nicolás de los Garza
Los Legendarios Suc. Universidad,legendarios-universidad.com,Restaurante amplio y tranquilo con bar completo y terraza donde se sirven carnes asadas y tacos.,+52 81 2473 6735,"AV UNIVERSIDAD, Avenida Universidad 1009-A, Sin Nombre de Col 9, 66400 San Nicolás de los Garza, N.L., México",Restaurante, Cierra a las 12a.m.,San Nicolás de los Garza
Noreste Grill,norestegrill.com.mx,Un lugar casual que sirve parrilladas y especialidades de México con una variedad de tequilas.,+52 81 8105 3531,"Av. Sendero, Paseo Almenares, Av Morenita Mia esq, 66417 San Nicolás de los Garza, N.L., México",Restaurante, Cierra a las 12a.m.,San Nicolás de los Garza
Ceviche & Aguachiles El Negro,,Restaurante sencillo con asientos al aire libre que sirve una variedad de platos creativos de mariscos.,+52 81 2235 8625,"Cerro De La Conformidad, Av. Cristina Larralde 100, Las Puentes 2do Sector, 66460 San Nicolás de los Garza, N.L., México",Marisquería, Cierra a las 12a.m.,San Nicolás de los Garza
The Urban Food Park,facebook.com,"Parque de food trucks alegre, con música en vivo y gran área de descanso con mesas coloridas y guirnaldas.",+52 81 1801 7308,"Av Juan Pablo II 600 - A, Sin Nombre de Col 2, Sin Nombre de Col 24, 66450 San Nicolás de los Garza, N.L., México",Restaurante, Cierra a las 12a.m.,San Nicolás de los Garza
Davila's House Nogalar,davilashouse.com.mx,"Lugar tranquilo con música en vivo que ofrece platos regionales del norte, incluida la barbacoa y el desayuno.",+52 81 8352 1517,"Parrilladas en, Av. Nogalar Sur 199 Sur, Cuauhtémoc, 66450 San Nicolás de los Garza, N.L., México",Restaurante mexicano, 11p.m. ,San Nicolás de los Garza
Palax Restaurante,,None Found,+52 81 2718 5514,"Av. Manuel L. Barragán 550, Residencial Anahuac 3er Sector, 66457 San Nicolás de los Garza, N.L., México",Restaurante mexicano,,San Nicolás de los Garza
El Puerto de San Nico,puertodesannico.com,"Carnes y mariscos, ambiente familiar y música en vivo caracterizan este amplio comedor con paredes de piedra.",+52 81 8332 0763,"Av. Manuel L. Barragán 540, Residencial Anahuac Nte, 66457 San Nicolás de los Garza, N.L., México",Marisquería, Cierra a la 1a.m.,San Nicolás de los Garza
Ceviche & Aguachiles El Negro,,None Found,+52 81 8138 8337,"Av Juan Pablo II 245, Sin Nombre de Col 2, Sin Nombre de Col 23, 66460 San Nicolás de los Garza, N.L., México",Restaurante, Cierra a las 11:30p.m.,San Nicolás de los Garza
RESTAURANTE CUEVAS,,None Found,+52 81 4089 4113,"Sierra Mixteca 700, Las Puentes 6to Sector, 66460 San Nicolás de los Garza, N.L., México",Restaurante mexicano, 11p.m. ,San Nicolás de los Garza
Taquería Juárez,,None Found,+52 81 2136 5000,"Avenida Universidad 1250, Centro, 66400 San Nicolás de los Garza, N.L., México",Taquería, 10:30p.m. ,San Nicolás de los Garza
Tacos Y Antojitos Ragoel,,None Found,+52 81 8376 0146,"Av. Almazán #440, Valle de Anáhuac, 66450 San Nicolás de los Garza, N.L., México",Restaurante mexicano, Cierra a la 1a.m.,San Nicolás de los Garza
Aja Toro,,"Alegre marisquería con extenso comedor y terraza con techos de palapa, servicio de bar y música en vivo.",+52 81 2621 6158,"Ramón López Velarde 101, Anáhuac, 66450 San Nicolás de los Garza, N.L., México",Restaurante, Cierra a las 2a.m.,San Nicolás de los Garza
Restaurante Regio,restaurantregio.com.mx,"Comedor elegante y tradicional conocido por su buffet de platos regionales abundantes, como el cabrito asado.",+52 81 8376 3538,"Avenida Universidad 801, Roble Nte., 66458 San Nicolás de los Garza, N.L., México",Restaurante mexicano, Abre a las 8a.m. del dom,San Nicolás de los Garza
Martins San Nicolas,,None Found,+52 81 8352 1808,"Fray Bartolomé de las Casas 107, Roble Nte., 66450 San Nicolás de los Garza, N.L., México",Restaurante mexicano, 11p.m. ,San Nicolás de los Garza
El Zorritoz Tacoz & Mariscoz,,None Found,+52 81 8376 9891,"esq Enfrente de Starbucks, Salvador Díaz Mirón, Avenida Universidad 120, Anáhuac, 66450 San Nicolás de los Garza, N.L., México",Restaurante mexicano, Cierra a las 2a.m.,San Nicolás de los Garza
Los Generales Buffets Barragán,generales.com.mx,None Found,+52 81 8332 5447,"Av. Manuel L. Barragán #240, Residencial Anahuac 1er Sector, 66457 San Nicolás de los Garza, N.L., México",Restaurante mexicano, 11p.m. ,San Nicolás de los Garza
Davila's House,,"Restaurante familiar que sirve antojitos mexicanos, tacos y parrilladas en un comedor con estilo casual.",+52 81 8383 3655,"C. Monte Olimpo 1105, Balcones de las Puentes, 66466 San Nicolás de los Garza, N.L., México",Restaurante especializado en filetes, Cierra a las 12a.m.,San Nicolás de los Garza
La parrilla,facebook.com,None Found,+52 81 8332 1793,"Av. Famosa 103, Cuauhtémoc, 66450 San Nicolás de los Garza, N.L., México",Restaurante mexicano, Cierra a la 1a.m.,San Nicolás de los Garza
El tule,eltule.negocio.site,None Found,+52 81 8105 3004,"Av Morenita Mia 150A, Residencial Roble 2do Sector, 66414 San Nicolás de los Garza, N.L., México",Restaurante mexicano, Abre a la 1p.m. del dom,San Nicolás de los Garza
Taquería Guadalajara,instagram.com,None Found,+52 81 1931 7774,"Calle Benito Juarez 201A, Centro, 66400 San Nicolás de los Garza, N.L., México",Taquería,,San Nicolás de los Garza
El Porfiriato,elporfiriato.com,Bar con decoración inspirada en el porfiriato que sirve comida mexicana con toque francés y creativos tragos.,+52 81 2134 8400,"Av. Miguel Alemán 200, Sin Nombre de Col 34, 66470 San Nicolás de los Garza, N.L., México",Restaurante, Cierra a las 2a.m.,San Nicolás de los Garza
Catrinas Chilaquiles,,None Found,+52 81 3424 4236,"Av. Cordillera de los Andes 818, Residencial las Puentes, 66460 San Nicolás de los Garza, N.L., México",Restaurante mexicano, Abre a las 8a.m. del dom,San Nicolás de los Garza
Black Friday,black-friday.negocio.site,None Found,+52 81 8332 5236,"Av. Manuel L. Barragán #402, Residencial Periferico, 66420 San Nicolás de los Garza, N.L., México",Restaurante, Cierra a la 1a.m.,San Nicolás de los Garza
Vips San Nicolás De Los Garza,vips.com.mx,None Found,+52 83322436,"Avenida Universidad Sur 407-2o. Sector, El Roble, 66450 San Nicolás de los Garza, N.L., México",Restaurante mexicano, 11p.m. ,San Nicolás de los Garza
Enchiladas Joe,,None Found,+52 81 8332 6112,"Av. las Torres 442, Iturbide, 66420 San Nicolás de los Garza, N.L., México",Restaurante mexicano, Cierra a las 12a.m.,San Nicolás de los Garza
Casa Huasteca,facebook.com,None Found,+52 81 1970 5561,"C. Monte Olimpo 1104, Balcones de las Puentes, 66466 San Nicolás de los Garza, N.L., México",Restaurante mexicano, Abre a las 9a.m. del dom,San Nicolás de los Garza
Habanero grill San Nicolás,,None Found,+52 81 8383 9355,"C. Gonzalitos 310, Centro, 66400 San Nicolás de los Garza, N.L., México",Parrilla, 10:45p.m. ,San Nicolás de los Garza
El Papalote Taco & Grill Sendero,elpapalote.com,None Found,+52 81 1344 1644,"Av. Manuel L. Barragán 601, Las Misiones, 66428 San Nicolás de los Garza, N.L., México",Restaurante tex-mex, Cierra a las 11:30p.m.,San Nicolás de los Garza
Señor Latino Suc. San Nicolás,senorlatino.com,None Found,,"con, Allende, Gral. Nicolás Bravo 330, 66400 San Nicolás de los Garza, N.L., México",Restaurante, Abre a las 7a.m. del dom,San Nicolás de los Garza
Tacos Primo,,None Found,+52 81 1638 5803,"Av. Central 111, Chapultepec, 66450 San Nicolás de los Garza, N.L., México",Taquería, Cierra a las 12a.m.,San Nicolás de los Garza
Dogos De Sonora Sucursal Universidad,,None Found,+52 81 8332 1839,"Av. Cristina Larralde 107, Cuauhtemoc, Sin Nombre de Col 22, 66450 San Nicolás de los Garza, N.L., México",Restaurante de perritos calientes, Cierra a las 12a.m.,San Nicolás de los Garza
Cenaduria La Esquina,,None Found,+52 81 3436 0790,"C. Rafael Coronel 101, Residencial Roble 2do Sector, 66418 San Nicolás de los Garza, N.L., México",Restaurante mexicano, 11p.m. ,San Nicolás de los Garza
Antojitos Mamá Marthita,,None Found,+52 81 8330 6477,"Av. Cordillera de los Andes 620, Residencial las Puentes, 66460 San Nicolás de los Garza, N.L., México",Restaurante mexicano, 11p.m. ,San Nicolás de los Garza
Las Alitas Roble Universidad,lasalitas.com,None Found,+52 81 8352 4859,"Avenida Universidad 501, Roble 2do Sector, 66450 San Nicolás de los Garza, N.L., México",Restaurante de alas de pollo, Cierra a la 1a.m.,San Nicolás de los Garza
Los Cabritos Alameda San Nicolas - Barragan,sites.google.com,None Found,+52 81 2742 5421,"Av. Manuel L. Barragán 800, Anáhuac, 66450 San Nicolás de los Garza, N.L., México",Restaurante familiar, Cierra a las 12:30a.m.,San Nicolás de los Garza
La Horda Bar Arcade Sanico,lahordabarsanico.com,None Found,+52 81 3671 5393,"Av Juan Pablo II 450-L-24, Francisco Garza Sada, 66490 San Nicolás de los Garza, N.L., México",Restaurante, Cierra a la 1a.m.,San Nicolás de los Garza
Taquería La Mexicana Universidad,taquerialamexicana.mx,Restaurante sencillo con un comedor alegre en el que se ofrecen tacos de canasta tradicionales.,+52 81 8340 7175,"Avenida Universidad 915, Centro, 66400 San Nicolás de los Garza, N.L., México",Taquería, Abre a las 8a.m. del dom,San Nicolás de los Garza
