Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Barbacoa el cerrito,,None Found,,"Av. Melchor Ocampo 20, San Pablo, 54930 San Pablo de las Salinas, Méx., México",Restaurante especializado en barbacoa, Abre a las 9a.m.,San Pablo de las Salinas
Restaurante Familiar El Forastero,,None Found,+52 55 5869 4894,"Anastasio Bustamante, Guillermo Morelos 2, 2ª Sección, 54930 San Pablo de las Salinas, Méx., México",Restaurante familiar, Abre a las 8a.m.,San Pablo de las Salinas
"""El Forastero"" Don Pedro",,None Found,,"Leonardo Bravo 33-Local 1, Morelos 2da Secc, 54930 San Pablo de las Salinas, Méx., México",Restaurante familiar, Abre a las 8:30a.m.,San Pablo de las Salinas
El Rincón de Verduzco,,None Found,,"José Sixto Verduzco 2, Morelos 2da Secc, 54930 San Pablo de las Salinas, Méx., México",Restaurante de comida tradicional americana, Abre a las 6p.m.,San Pablo de las Salinas
"Taquería y Parrillada ""El Cuñado""",,None Found,,"Andrés Quintana Roo 3-Local 2, Las Estepas, 54927 San Pablo de las Salinas, Méx., México",Taquería, Abre a las 4:30p.m.,San Pablo de las Salinas
Pollos Al Carbon,,None Found,,"Francisco I. Madero 19, San Pablo de las Salinas, 54930 San Pablo de las Salinas, Méx., México",Restaurante especializado en pollo, Abre a las 10:30a.m.,San Pablo de las Salinas
El gustete,facebook.com,None Found,+52 55 5834 5229,"Granadas 2, Morelos 3ra Secc, 54930 San Pablo de las Salinas, Méx., México",Cafetería, Abre a las 9a.m.,San Pablo de las Salinas
Pescados y mariscos la curva electrica,,None Found,+52 55 8423 6933,"Av. Canal de Castera S/n, Gustavo Baz Prada, 54934 San Pablo de las Salinas, Méx., México",Marisquería, Cierra a las 7a.m. ,San Pablo de las Salinas
Birrieria El Patio,,None Found,,"Emiliano Zapata 89, Lomas de San Pablo, 54930 San Pablo de las Salinas, Méx., México",Restaurante mexicano, Abre a las 9a.m.,San Pablo de las Salinas
San Pablo de las Salinas,,None Found,,,,,San Pablo de las Salinas
Antojitos Vicky,facebook.com,None Found,+52 55 5897 3633,"Plaza del Resplandor 33, San Pablo III B, 54932 San Pablo de las Salinas, Méx., México",Restaurante, Abre a las 4p.m.,San Pablo de las Salinas
Antojitos Mexicanos Doña Laura,facebook.com,None Found,,"Claveles 4, Morelos 3ra Secc, 54935 San Pablo de las Salinas, Méx., México",Restaurante, Abre a las 7:30p.m. del vie,San Pablo de las Salinas
Antojitos mexicanos,,None Found,+52 55 6966 8084,"Av. Miguel Hidalgo Manzana 010, San Pablo, 54930 San Pablo de las Salinas, Méx., México",Restaurante mexicano, Cierra a las 12a.m.,San Pablo de las Salinas
Yuves Pizza,facebook.com,None Found,+52 55 5898 1977,"Francisco I. Madero 18, San Pablo, 54930 San Pablo de las Salinas, Méx., México",Pizzería, Cierra a las 10:30a.m. ,San Pablo de las Salinas
Cocina Económica La Chiquita,,None Found,+52 55 5883 1903,"Constitución de Apatzingán 46, Morelos 2da Secc, 54930 San Pablo de las Salinas, Méx., México",Restaurante, Abre a las 9a.m. del lun,San Pablo de las Salinas
Tacos Don Marce,,None Found,,"Av. Jorge Jiménez Cantú 65, Casitas San Pablo, 54935 San Pablo de las Salinas, Méx., México",Taquería, Abre a las 7p.m.,San Pablo de las Salinas
