Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
La Torrada,latorrada.mx,"Refinado restaurante de carnes con destacados platos de mariscos, tacos, hamburguesas, carnes premium y vinos.",+52 81 8262 7151,"Av Lázaro Cárdenas 2500, Valle Oriente, 66260 San Pedro Garza García, N.L., México",Restaurante especializado en filetes, Abre a la 1p.m.,San Pedro Garza García
Botanero Moritas San Pedro,botaneromoritas.com,None Found,+52 81 8338 8374,"Independencia 143, Casco Urbano, 66200 San Pedro Garza García, N.L., México",Bar restaurante, Abre a la 1p.m.,San Pedro Garza García
Gallo 71,gallo71.mx,Cocina de fusión mexicana incluye chicharrón de pulpo y tacos de atún servido en un ambiente vivo y moderno.,+52 81 8335 6200,"Av. José Vasconcelos 71, Del Valle, 66220 San Pedro Garza García, N.L., México",Restaurante de alta cocina, Abre a la 1p.m.,San Pedro Garza García
Mar del Zur,mardelzur.com,None Found,+52 81 2318 0980,"Av. José Vasconcelos 150 PB, Del Valle, 66220 San Pedro Garza García, N.L., México",Restaurante, Abre a la 1p.m.,San Pedro Garza García
Cabanna Restaurant,cabanna.com.mx,None Found,+52 81 8148 4430,"Av Lázaro Cárdenas 2400, Valle Oriente, 66269 San Pedro Garza García, N.L., México",Marisquería,,San Pedro Garza García
PANGEA,restaurantepangea.com,"Entorno refinado y platos regionales sofisticados con un toque contemporáneo, además de una gran bodega de vino.",+52 81 8114 6601,"Av. del Roble 660, Valle del Campestre, 66273 San Pedro Garza García, N.L., México",Restaurante de alta cocina,,San Pedro Garza García
Los Hidalgos | Lázaro Cárdenas,loshidalgos.mx,Restaurante de carnes fino con cortes exclusivos y postres y acompañamientos creativos en un comedor amplio.,+52 81 2633 8315,"Av Lázaro Cárdenas 2660, Zona Valle Oriente, 66266 San Pedro Garza García, N.L., México",Restaurante mexicano, Abre a las 12p.m.,San Pedro Garza García
La Embajada,delking.mx,"Restaurante de lujo con patio en el que se preparan carnes, mariscos, tacos y una salsa casera.",+52 81 1931 8855,"Av. Batallón de San Patricio 1000, Zona San Agustín, 66260 San Pedro Garza García, N.L., México",Restaurante mexicano, Abre a la 1p.m.,San Pedro Garza García
Mon Paris - Valle,monparis.mx,None Found,+52 81 2091 5030,"Av. Manuel Gómez Morín 911, Comercial Gómez Morin, Del Valle, 66220 San Pedro Garza García, N.L., México",Restaurante francés, Abre a las 9a.m.,San Pedro Garza García
La Gran Barra,facebook.com,None Found,+52 81 2559 8787,"Av. del Roble 660, Zona Santa Barbara, 66266 San Pedro Garza García, N.L., México",Restaurante, Abre a la 1p.m.,San Pedro Garza García
La Buena Barra Monterrey,grupobarra.com,"Carnes mexicanas asadas al carbón y mariscos con un toque contemporáneo, además de cocteles creativos.",+52 81 8338 5050,"Rio Missouri 600 Ote-local 307, Zona Valle de Santa Engracia, 66268 San Pedro Garza García, N.L., México",Restaurante, Abre a la 1p.m.,San Pedro Garza García
Cenacolo,cenacolo.com.mx,None Found,+52 81 8363 5151,"Avenida Batallón de San Patricio 109 Colonia Valle Oriente, Zona San Agustín, 66231 San Pedro Garza García, N.L., México",Restaurante italiano,,San Pedro Garza García
Mochomos Monterrey,mochomos.mx,Sofisticado comedor estilo industrial con ventanales y vista que ofrece alta cocina sonorense contemporánea.,+52 81 8647 0160,"Av Lázaro Cárdenas 2400, Zona Loma Larga Oriente, 66260 Monterrey, N.L., México",Restaurante, Abre a las 12p.m.,San Pedro Garza García
Sonora Prime Monterrey,casaprime.mx,"Parrilladas, recetas internacionales y vino en un espacio moderno con ambiente selecto y ventanas grandes.",+52 55 9990 5867,"Lázaro Cárdenas #2400 San Pedro Garza, 66269 Monterrey, N.L., México",Restaurante, Abre a las 12:30p.m.,San Pedro Garza García
Cantina La 20 | Monterrey,,None Found,+52 81 8396 0817,"NLE MX, Rio Missouri 555, Valle de Santa Engracia, 66220 San Pedro Garza García, N.L., México",Restaurante mexicano,,San Pedro Garza García
Indio Azteca,indioazteca.com,None Found,+52 81 1356 1020,"Av. Ricardo Margain Zozaya 315, Zona Santa Engracia, 66263 San Pedro Garza García, N.L., México",Restaurante mexicano, Abre a las 12p.m.,San Pedro Garza García
Holsteins San Pedro,holsteins.com.mx,Restaurante con bar y sala de whisky en donde se ofrecen cortes seleccionados y múltiples métodos de cocción.,+52 81 1358 7591,"Rio Missouri 555 San Pedro Garza, 66220 Monterrey, N.L., México",Restaurante, Abre a la 1p.m.,San Pedro Garza García
Cuerno Calzada,cuerno.mx,"Restobar elegante de gastronomía sofisticada que ofrece carnes y mariscos a la parrilla, cocteles, vinos y cervezas.",+52 81 2530 0082,"Calz. del Valle 333, Del Valle, 66220 San Pedro Garza García, N.L., México",Restaurante de alta cocina, Abre a las 8a.m.,San Pedro Garza García
Animal Calzada,costeno.com,None Found,+52 81 8287 6238,"Calz. del Valle 333, Rooftop, Del Valle, 66220 San Pedro Garza García, N.L., México",Restaurante mexicano, Abre a la 1p.m.,San Pedro Garza García
Los Hidalgos | Gómez Morín,loshidalgos.mx,None Found,+52 81 8335 0734,"Priv. Río Amazonas 500, Valle de Santa Engracia, 66260 San Pedro Garza García, N.L., México",Restaurante mexicano, Abre a las 12:30p.m.,San Pedro Garza García
Vasconcelos Paladar Mexicano,vasconcelos.com.mx,"Restaurante informal ofrece platillos abundantes de carne, waffles, costillas y postres.",+52 81 2136 3060,"Av. José Vasconcelos 150, Del Valle, 66220 San Pedro Garza García, N.L., México",Restaurante mexicano, Abre a las 8a.m.,San Pedro Garza García
Grand Cru,,None Found,+52 81 1937 9002,"Av. de la Industria 300-Local 9, Veredalta, 66273 San Pedro Garza García, N.L., México",Restaurante de alta cocina, Abre a la 1p.m. del lun,San Pedro Garza García
Casagrande Restaurante,,"Lugar refinado con un ambiente tranquilo donde se sirven carnes, tacos y otros platos tradicionales.",+52 81 8338 6812,"Av. José Vasconcelos 152, Tampiquito, 66240 San Pedro Garza García, N.L., México",Restaurante mexicano, Abre a las 7:30a.m.,San Pedro Garza García
Hatxa,hatxa.mx,None Found,+52 81 2718 1160,"Av. del Roble 660, Zona Campestre, 66273 San Pedro Garza García, N.L., México",Restaurante de cocina española, Abre a la 1p.m.,San Pedro Garza García
La Colonia,lacoloniasanpedro.mx,None Found,+52 81 1359 4039,"Av Bosques del Valle 110, Del Valle, 66250 San Pedro Garza García, N.L., México",Restaurante, Abre a la 1p.m.,San Pedro Garza García
El Gran Pastor Valle,elgranpastor.com,None Found,+52 81 8356 2462,"Av. del Roble 701, Valle del Campestre, 66265 San Pedro Garza García, N.L., México",Restaurante mexicano, Abre a las 7a.m.,San Pedro Garza García
La Reynita,lareynita.mx,None Found,+52 81 1013 3981,"Av. Diego Rivera 1000, Residencial San Agustín 1er Sector, 66260 San Pedro Garza García, N.L., México",Restaurante mexicano, Abre a las 12p.m.,San Pedro Garza García
9 FUEGOS,9fuegos.com,None Found,+52 81 2317 4051,"Trebol Park, Av Lázaro Cárdenas 2424-Local 19, Residencial San Agustín 1er Sector, 66260 San Pedro Garza García, N.L., México",Restaurante, Abre a la 1p.m.,San Pedro Garza García
Lázaro & Diego,costeno.com,None Found,+52 81 8704 1815,"Eje Metropolitano 10 2400, Zona Loma Larga Oriente, 66278 Monterrey, N.L., México",Restaurante, Abre a las 8a.m.,San Pedro Garza García
Los Gyros.,losgyros.mx,None Found,+52 81 8335 9691,"Río Orinoco 171, Del Valle, 66220 San Pedro Garza García, N.L., México",Restaurante, Abre a la 1p.m.,San Pedro Garza García
El Torito Sinaloense -Sucursal VALLE,eltoritosinaloense.com.mx,Alegre restaurante en donde se ofrece un creativo menú de platillos elaborados con pescados y mariscos.,+52 81 3604 1167,"Rio Mississippi 129, Del Valle, 66220 San Pedro Garza García, N.L., México",Restaurante, Abre a la 1p.m.,San Pedro Garza García
El Torito Sinaloense -Sucursal VALLE,eltoritosinaloense.com.mx,Alegre restaurante en donde se ofrece un creativo menú de platillos elaborados con pescados y mariscos.,+52 81 3604 1167,"Rio Mississippi 129, Del Valle, 66220 San Pedro Garza García, N.L., México",Restaurante, Abre a la 1p.m.,San Pedro Garza García
