Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Noreste Grill,norestegrill.com.mx,None Found,+52 81 1405 6502,"Carr. Monterrey - Saltillo 700, Col. Centro, 66376 Cdad. Santa Catarina, N.L., México",Restaurante, 12a.m. ,Santa Catarina
El Costeñito,costenito.mx,None Found,+52 81 2092 1035,"Av, Industriales del Pte. 1050, Sin Nombre de Col 3, 66370 Cdad. Santa Catarina, N.L., México",Marisquería, Cierra a las 2a.m.,Santa Catarina
Sayu Sayulita Santa Catarina,,None Found,+52 81 2399 3479,"Av. Manuel Jesus Clouthier 899-local a, Sin Nombre de Col 14, 66214 Cdad. Santa Catarina, N.L., México",Bar restaurante, Cierra a las 2a.m.,Santa Catarina
LA ANACUA STA.CATARINA,,None Found,+52 81 1363 9003,"Av Manuel Ordoñez 608, La Aurora, 66378 Cdad. Santa Catarina, N.L., México",Marisquería, Abre a las 11a.m. del dom,Santa Catarina
Los Generales Buffets Santa Catarina,generales.com.mx,None Found,+52 81 1522 0200,"Av. Industrias del Poniente No. 1050, Sin Nombre de Col 3, 66370 Cdad. Santa Catarina, N.L., México",Restaurante mexicano, Abre a las 7a.m. del dom,Santa Catarina
Chili's Santa Catarina,chilis.com.mx,Cadena apta para familias que ofrece alimentos estadounidenses y tex-mex en un ambiente sureño.,+52 81 8390 8611,"Avenida Industrias del Poniente 1050 Local R101, Zona Industrial, 66370 Cdad. Santa Catarina, México",Restaurante americano, 12a.m. ,Santa Catarina
Taqueria El Vado,,None Found,+52 81 2401 7442,"Av. Montaña 117, Infonavit la Huasteca, 66354 Cdad. Santa Catarina, N.L., México",Taquería, Cierra a la 1a.m.,Santa Catarina
El Timón,eltimon.com.mx,None Found,+52 81 1287 0680,"Av Manuel Ordoñez 322, Centro, 66350 Cdad. Santa Catarina, N.L., México",Marisquería, Abre a las 10:30a.m. del dom,Santa Catarina
Taqueria Crisor,,None Found,+52 81 8014 3109,"C. Perimetral Ote. 528, Mártires de Cananea, 66365 Cdad. Santa Catarina, N.L., México",Taquería, Cierra a las 2:30a.m.,Santa Catarina
Rock and Wings,,None Found,+52 81 8112 8460,"Luis Donaldo Colosio Murrieta 530 A, Hacienda San José, 66350 Cdad. Santa Catarina, N.L., México",Restaurante de alas de pollo, 12:02a.m. ,Santa Catarina
Restaurant Familiar Las Palapas,,None Found,+52 81 8114 7223,"C. Hidalgo 715, La Fama, 66100 Cdad. Santa Catarina, N.L., México",Marisquería, Abre a las 11:45a.m. del dom,Santa Catarina
