Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Hacienda Laborcilla,haciendalalaborcilla.mx,"Restaurante lujoso ubicado en una hacienda restaurada del siglo XVIII, con mesas al aire libre y una fuente.",+52 442 245 2438,"Prol. Corregidora Nte. 911 bis, Quinta la Laborcilla, 76168 Santiago de Querétaro, Qro., México",Restaurante, Cierra a las 12a.m.,Santiago de Querétaro
El Mesón de Chucho El Roto,chuchoelroto.com.mx,"Ambiente rústico con tacos, tostadas, cocteles de mezcal, mesas en la terraza y ambiente animado.",+52 442 212 4295,"Av. Luis Pasteur Sur 16, Centro, 76000 Santiago de Querétaro, Qro., México",Restaurante mexicano, Cierra a las 11p.m.,Santiago de Querétaro
Argentilia Querétaro,argentilia.mx,"Restaurante de lujo que sirve filete estilo argentino, mariscos y postres en un comedor elegante.",+52 442 215 1005,"Av. Constituyentes Pte. 59, Casa Blanca, 76030 Santiago de Querétaro, Qro., México",Restaurante argentino, Cierra a las 12a.m.,Santiago de Querétaro
Mochomos Querétaro,,"Lugar con estilo urbano que ofrece un creativo menú de platillos elaborados con cortes, pescados y mariscos.",+52 442 902 6179,"Prol. Bernardo Quintana 5260-1D, Colinas del Parque, 76140 Santiago de Querétaro, Qro., México",Restaurante, Cierra a las 12a.m.,Santiago de Querétaro
Cocono,queretaro.cocono.com.mx,Lugar artístico y elegante donde se ofrecen comidas preparadas cuidadosamente y servidas con cocteles.,+52 442 223 2022,"Prol. Bernardo Quintana 18, Calesa, 76020 Santiago de Querétaro, Qro., México",Restaurante mexicano, Cierra a las 12a.m.,Santiago de Querétaro
il Duomo Cocina Italiana,grupopasta.com,Acogedor restaurante con muros de piedra y techos altos que ofrece comida italiana de elaboración casera.,+52 442 213 7768,"Blvd. Bernardo Quintana Arrioja 32, Calesa, 76020 Santiago de Querétaro, Qro., México",Restaurante italiano, Cierra a las 12a.m.,Santiago de Querétaro
Fiume 37,,"Restaurante de lujo italiano de pizzas, pasta y platos tradicionales en un comedor con paredes de piedra.",+52 442 212 7059,"Avenida Universidad Poniente 37, Centro, 76000 Santiago de Querétaro, Qro., México",Restaurante italiano, Cierra a las 11p.m.,Santiago de Querétaro
San Miguelito - Querétaro,sanmiguelitoqro.com.mx,"Local con decoración colorida donde se sirven guacamole y empanadas hechos a manos, cervezas artesanales y margaritas.",+52 446 142 7905,"C. 5 de Mayo 39, Centro Histórico, Centro, 76000 Santiago de Querétaro, Qro., México",Restaurante mexicano, Cierra a las 12a.m.,Santiago de Querétaro
Taberna El Quillo,tabernaelquillo.com,None Found,+52 442 688 1630,"P.º de la República 135, Jurica, 76127 Santiago de Querétaro, Qro., México",Restaurante, Cierra a las 11p.m.,Santiago de Querétaro
Restaurante 1810,restaurante1810.wordpress.com,"Restaurante con platos clásicos mexicanos, música en vivo y mesas al aire libre con vista a una plaza.",+52 442 214 3324,"And. Libertad 62, Centro, 76000 Santiago de Querétaro, Qro., México",Restaurante mexicano, Cierra a las 12a.m.,Santiago de Querétaro
Sonora Grill Puerta La Victoria,sonoragrill.com.mx,None Found,+52 442 241 4971,"Av. Constituyentes 40, zona dos extendida, Mercurio, 76046 Santiago de Querétaro, Qro., México",Restaurante, Cierra a las 2a.m.,Santiago de Querétaro
