Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurant La Estrella de Dimas,,None Found,+52 444 831 2133,"Carretera a, Matehuala - San Luis Potosí n, Centro, 78430 Soledad de Graciano Sánchez, S.L.P., México",Restaurante, Abre a las 12:40p.m. del dom,Soledad de Graciano Sánchez
Restaurante Panchos,facebook.com,"Rústico restaurante-bar familiar que sirve cortes al carbón, cabrito y platillos mexicanos de mar y tierra.",+52 444 854 6987,"San Luis Potosí - Matehuala Km. 5, La Constrancia, 78433 Soledad de Graciano Sánchez, S.L.P., México",Restaurante, Abre a la 1p.m. del dom,Soledad de Graciano Sánchez
"Los Portales ""Cocina Mexicana",,None Found,,"C. Ruiz 560, El Lavadero, 78437 Soledad de Graciano Sánchez, S.L.P., México",Restaurante, Abre a las 9a.m. del dom,Soledad de Graciano Sánchez
La Huerta,,None Found,,"Lat. Carr. San Luis - Matehuala, Soledad de Graciano Sanchez, 78430 Soledad Diez Gutiérrez, S.L.P., México",Restaurante, Abre a las 8a.m. del dom,Soledad de Graciano Sánchez
El Gaviero,,None Found,+52 444 205 1809,"Calle Vicente Guerrero 209, Centro Historico, 78430 Soledad de Graciano Sánchez, S.L.P., México",Marisquería,,Soledad de Graciano Sánchez
Restaurant-Bar La Güera,,None Found,+52 444 809 5902,"C. 16 de Septiembre 861, 21 de Marzo, 78437 Soledad de Graciano Sánchez, S.L.P., México",Bar restaurante, Abre a las 8a.m. del dom,Soledad de Graciano Sánchez
La Palapa del Ra,,None Found,+52 444 290 8165,"Manuel Ávila Camacho 910, San Antonio, 78436 Soledad de Graciano Sánchez, S.L.P., México",Marisquería, Abre a la 1p.m. del dom,Soledad de Graciano Sánchez
Taqueria El Tablon,,None Found,+52 444 848 6368,"Miguel Hidalgo 401A, Soledad de Graciano Sanchez, 78430 Soledad de Graciano Sánchez, S.L.P., México",Taquería, Cierra a las 3a.m.,Soledad de Graciano Sánchez
Restaurante Doña Visa,,None Found,,"Mariano Matamoros 104, Soledad de Graciano Sanchez, 78430 Soledad de Graciano Sánchez, S.L.P., México",Restaurante, Abre a las 9a.m. del dom,Soledad de Graciano Sánchez
Taquería charquito,,None Found,,"Miguel Hidalgo 446, Soledad de Graciano Sanchez, 78430 Soledad de Graciano Sánchez, S.L.P., México",Taquería, Cierra a las 3a.m.,Soledad de Graciano Sánchez
Taquería charquito,,None Found,,"Miguel Hidalgo 446, Soledad de Graciano Sanchez, 78430 Soledad de Graciano Sánchez, S.L.P., México",Taquería, Cierra a las 3a.m.,Soledad de Graciano Sánchez
La Reserva,facebook.com,None Found,+52 444 848 2867,"Cam. A San José del Barro, La Cofradía, 78430 Soledad de Graciano Sánchez, S.L.P., México",Restaurante,,Soledad de Graciano Sánchez
