Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
El Lindero Hidalgo Tampico,m.facebook.com,"Restaurante tranquilo de 2 pisos con patio donde se ofrecen opciones de desayuno, filetes y tacos.",+52 833 217 4466,"Av. Miguel Hidalgo 3606, Flores, 89220 Tampico, Tamps., México",Restaurante mexicano, Abre a las 7a.m.,Tampico
"Los Curricanes Tampico, Sucursal Calle México",loscurricanes.mx,Platos mexicanos del mar y de la tierra con cócteles creativos en un lugar rústico con decoraciones marinas.,+52 833 217 0217,"C. México 411, Guadalupe, 89120 Tampico, Tamps., México",Marisquería, Abre a las 12p.m.,Tampico
360 Grill & Bar,360grillandbar.com,Un restaurante-bar con escenario para música en vivo que ofrece una variedad de platos de México y el mundo.,+52 833 228 0606,"Av. Miguel Hidalgo 4713, Lomas de Rosales, 89100 Tampico, Tamps., México",Restaurante, Cierra a las 2a.m. ,Tampico
El Asador Terraza,elasadorterraza.com,None Found,+52 833 130 5263,"Av. Miguel Hidalgo 2005, Smith, 89140 Tampico, Tamps., México",Parrilla, Abre a la 1p.m.,Tampico
El Asador Los Pinos,elasador.com.mx,None Found,+52 833 210 3125,"C. 5 106, San Felipe, Los Pinos, 89138 Tampico, Tamps., México",Restaurante mexicano, Abre a la 1p.m.,Tampico
El Muelle,elmuelledetampico.wix.com,None Found,+52 833 217 4720,"Av. Cuauhtémoc 3417, Arboledas, Colonias Primavera, 89130 Tampico, Tamps., México",Marisquería, Abre a las 12p.m.,Tampico
Basilico Herradura Tampico,grupobasilico.com,Elegante restaurant con toques rústicos y decorado clásico que sirve cocina italiana con pasta hecha en casa.,+52 833 228 3702,"Miguel Hidalgo y Costilla 5820, Lomas del Chairel, 89360 Tampico, Tamps., México",Restaurante, Abre a la 1p.m.,Tampico
Puerta 27,grupobasilico.com,None Found,+52 833 228 3702,"Av. Miguel Hidalgo 5820-local 28, Lomas del Chairel, 89360 Tampico, Tamps., México",Restaurante, Abre a la 1p.m.,Tampico
El Lindero Universidad,,None Found,+52 833 688 3770,"Avenida Universidad 26, Los Pinos, 89100 Tampico, Tamps., México",Restaurante, Abre a las 7a.m.,Tampico
"Los Curricanes Tampico, Sucursal Rondinella",loscurricanes.mx,None Found,+52 833 213 1053,"Avenida Universidad 900, Linda Vista, 89107 Tampico, Tamps., México",Marisquería, Abre a la 1p.m.,Tampico
Jardín Corona,facebook.com,None Found,+52 833 213 9383,"Av. Miguel Hidalgo 2505, Altavista, 89240 Tampico, Tamps., México",Restaurante argentino, Abre a la 1p.m.,Tampico
Restaurante La Marisquería Mahi-Mahi,m.facebook.com,None Found,+52 833 213 2756,"Tampico 601, Guadalupe, 89120 Tampico, Tamps., México",Marisquería, Abre a las 12:30p.m.,Tampico
Peccato,,None Found,+52 833 399 1591,"C. Durango 404, Guadalupe, 89120 Tampico, Tamps., México",Restaurante italiano,,Tampico
TGI Fridays Tampico,fridaystam.com,"Cadena de restaurantes informales y festivos donde se ofrece cerveza, cocteles y comida estadounidense.",+52 833 227 0050,"Av. Miguel Hidalgo 4909, Lomas de Rosales, 89100 Tampico, Tamps., México",Restaurante americano,,Tampico
La Dolce Vita Ayuntamiento Tampico,facebook.com,None Found,+52 833 213 3490,"Ayuntamiento 25, Armora, 89120 Tampico, Tamps., México",Restaurante italiano, Abre a la 1p.m.,Tampico
Mariscos Cielo y Mar,,None Found,+52 833 688 3832,"Av. Miguel Hidalgo 2700, Aguila, 89230 Tampico, Tamps., México",Marisquería, Abre a la 1p.m.,Tampico
Restaurante Paraiso,facebook.com,Comedor familiar decorado con motivos náuticos que ofrece menú de platos elaborados con pescados y mariscos.,+52 833 213 5542,"Zacatecas 206, Guadalupe, 89120 Tampico, Tamps., México",Marisquería, Abre a las 8a.m.,Tampico
Restaurante El Porvenir,elporvenir.rest,Marisquería clásica en edificio histórico con bar y un amplio menú con especialidades únicas de la casa.,+52 833 213 0568,"Av. Miguel Hidalgo 1403, Trueba, 89170 Tampico, Tamps., México",Marisquería,,Tampico
Casa Chairel,facebook.com,None Found,+52 833 538 9542,"Azahar 102, Flores, 89220 Tampico, Tamps., México",Restaurante, Abre a las 12p.m.,Tampico
La Pequeña Nueva Orleans,,None Found,+52 833 447 6447,"Cristóbal Colón 208 sur, Zona Centro, 89000 Tampico, Tamps., México",Restaurante, Abre a las 4p.m.,Tampico
Restaurante Bar El Royal,facebook.com,None Found,+52 833 212 0031,"Aquiles Serdán 102, Zona Centro, 89000 Tampico, Tamps., México",Marisquería, Cierra a las 2a.m. ,Tampico
El Gran Pipián,,None Found,+52 833 214 5381,"Cap. Emilio Carranza 313, Zona Centro, 89000 Tampico, Tamps., México",Restaurante mexicano, Abre a las 8a.m.,Tampico
El Itacate Lomas Tampico,,Coqueta cafetería donde se encuentra repostería fina además de antojitos y comida tradicional mexicana.,+52 833 228 0801,"Lomas de Rosales No. 110, Lomas de Rosales, 89100 Tampico, Tamps., México",Restaurante mexicano, Abre a las 6a.m.,Tampico
Patron Grill & Bar,,None Found,+52 833 217 1684,"Av. Miguel Hidalgo 3302, Aguila, 89230 Tampico, Tamps., México",Restaurante,,Tampico
La Dolce Vita Mexico,facebook.com,None Found,+52 833 132 5301,"Av. Miguel Hidalgo 6602, Arenal, 89344 Tampico, Tamps., México",Restaurante italiano, Abre a la 1p.m.,Tampico
El Capi Marisco & Grill,elcapimariscosandgrill.com,None Found,+52 833 362 7735,"Av. Faja de Oro 603, Petrolera, 89110 Tampico, Tamps., México",Parrilla, Abre a las 12:30p.m.,Tampico
Restaurante La Meta,lameta.mx,None Found,+52 833 688 1973,"Diag. Norte-Sur 418 A, Los Pinos, 89138 Tampico, Tamps., México",Restaurante, Abre a las 8a.m.,Tampico
Brazza y Fogo,,"Carnes en espadas, bufé de ensaladas y sabores de Brasil en un espacio luminoso y colorido con aire informal.",+52 833 213 1258,"Av. Miguel Hidalgo 2501, Reforma, 89140 Tampico, Tamps., México",Restaurante brasileño,,Tampico
Restaurante El Paraiso Tampico,,None Found,+52 833 214 0669,"Calle Heriberto Jara 1024, Morelos, 89290 Tampico, Tamps., México",Restaurante mexicano, Abre a las 10:30a.m.,Tampico
El Granero,,None Found,+52 833 213 0796,"Cancun 228, La Florida, 89118 Tampico, Tamps., México",Restaurante especializado en filetes, Cierra a las 2a.m. ,Tampico
DI GARDA ristorante,,None Found,+52 833 138 7542,"Calle:, Dr. Alfredo Gochicoa 1020, Del Pueblo, 89199 Tampico, Tamps., México",Restaurante italiano, Abre a las 2p.m.,Tampico
Mr. Smoky,,None Found,+52 833 309 5495,"Diagonal Sur - Nte, Colinas de Universidad, 89138 Tampico, Tamps., México",Restaurante americano, 1a.m. ,Tampico
Restaurante De Mariscos “La Marinera”,,None Found,,"México 302, Del Bosque, 89318 Tampico, Tamps., México",Marisquería, Abre a las 12p.m.,Tampico
7 Leguas,,None Found,,"Privada 7116 Colonia, Leguas 7, Lomas del Chairel, Tampico, Tamps., México",Restaurante, Abre a las 10a.m.,Tampico
Restaurante Tampiquissimo,facebook.com,None Found,+52 833 217 9758,"Alamo 102, Aguila, 89230 Tampico, Tamps., México",Restaurante, Abre a las 12p.m.,Tampico
Mendocinos (Cinépolis Tampico),mendocinos.mx,None Found,+52 833 116 5031,"Av. Miguel Hidalgo 5107-Local 2, Flamboyanes, 89330 Tampico, Tamps., México",Buffet libre, Abre a las 8a.m.,Tampico
