Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restacorante El Mito-T,facebook.com,None Found,+52 962 184 4446,"4a. Avenida Sur 133, Los Naranjos, Centro, 30700 Tapachula de Córdova y Ordóñez, Chis., México",Bar restaurante, Abre a la 1p.m.,Tapachula
Restaurante El Cafetal,,None Found,+52 962 626 1440,"Carretera costera # 200, km 244, Vista Hermosa, 30760 Tapachula de Córdova y Ordóñez, Chis., México",Restaurante,,Tapachula
Restaurante Los Jarrones,,None Found,+52 962 626 1143,"Primera Calle Pte. 18, Los Naranjos, Centro, 30700 Tapachula de Córdova y Ordóñez, Chis., México",Restaurante,,Tapachula
La Troje Bodega Culinaria,facebook.com,None Found,+52 962 152 9979,"21a Privada Ote, 11a. Avenida Nte. 66 Esq, Centro, 30700 Tapachula de Córdova y Ordóñez, Chis., México",Restaurante, Abre a la 1p.m.,Tapachula
La Monalica,,Lugar informal y moderno con terraza arbolada en donde se ofrecen gastronomía tradicional y desayuno.,+52 962 626 0275,"11a. Avenida Nte. 81, Los Naranjos, Centro, 30700 Tapachula de Córdova y Ordóñez, Chis., México",Restaurante mexicano, Abre a las 8a.m.,Tapachula
Marinni Ristorante,,Lugar tranquilo con una terraza y un ambiente lleno de plantas donde se ofrece gastronomía italiana clásica.,+52 962 695 8228,"Av. Onceava Sur 1, Los Naranjos, Centro, 30700 Tapachula de Córdova y Ordóñez, Chis., México",Restaurante, Abre a las 9a.m.,Tapachula
Restaurante La Jefa,facebook.com,None Found,+52 962 118 1720,"Primera Calle Ote. & Primera Avenida Nte, Primera Avenida Nte. 15A, Centro, 30700 Tapachula de Córdova y Ordóñez, Chis., México",Restaurante, Abre a las 12p.m. del lun,Tapachula
Restaurante La Jefa,facebook.com,None Found,+52 962 118 1720,"Primera Calle Ote. & Primera Avenida Nte, Primera Avenida Nte. 15A, Centro, 30700 Tapachula de Córdova y Ordóñez, Chis., México",Restaurante, Abre a las 12p.m. del lun,Tapachula
Terraza: Tapas Lounge Tapachula,facebook.com,None Found,+52 962 695 5184,"Carretera Puerto Madero Km 3.5 Plaza Paseo HortenciasKm 3.5, Local 1, Los Naranjos, Ecologico las Hortencias, 30700 Tapachula de Córdova y Ordóñez, Chis., México",Restaurante, Abre a las 8a.m.,Tapachula
Toks Tapachula,toks.com.mx,None Found,+52 962 628 4308,"Carretera Tapachula - Puerto Madero, Las Hortencias 5, Los Naranjos, 30797 Tapachula de Córdova y Ordóñez, Chis., México",Restaurante, Abre a las 7a.m.,Tapachula
Restaurante El Navegante,facebook.com,None Found,+52 962 120 3199,"Carr. a Puerto Madero, Los Naranjos, Llano de la Lima, 30820 Tapachula de Córdova y Ordóñez, Chis., México",Restaurante, Abre a las 10a.m.,Tapachula
Restaurante Mexicana,,None Found,+52 962 118 2877,"Octava Avenida Nte., Los Naranjos, Centro, 30830 Tapachula de Córdova y Ordóñez, Chis., México",Restaurante mexicano,,Tapachula
El Tiburón Cocteles y Mariscos,mariscoseltiburon.com.mx,None Found,+52 962 625 4106,"4 Avenida Sur 1A, Los Naranjos, Centro, 30830 Tapachula de Córdova y Ordóñez, Chis., México",Marisquería, Abre a las 8a.m.,Tapachula
Restaurante Caldito Sureño Tapachula,facebook.com,None Found,+52 962 152 7645,"Carretera costera Km 245, Los Naranjos, Tapachula, 30750 Tapachula de Córdova y Ordóñez, Chis., México",Restaurante, Abre a las 8a.m.,Tapachula
Sr Tango,,None Found,+52 962 118 4023,"km 2.5, 4ta sur, Carr. a Puerto Madero, 30797 Tapachula de Córdova y Ordóñez, Chis., México",Restaurante argentino, Abre a la 1p.m.,Tapachula
El Paisa,,None Found,+52 962 254 3178,"4a. Av. Nte. 376, Los Naranjos, 5 de Febrero, 30710 Tapachula de Córdova y Ordóñez, Chis., México",Marisquería,,Tapachula
Sonora's Meat,sonorasmeattap.com,None Found,+52 962 621 2972,"4a. Avenida Sur entre 22 y 24 Poniente, Los Naranjos, Tapachula, 30790 Tapachula de Córdova y Ordóñez, Chis., México",Restaurante, Abre a las 12p.m.,Tapachula
Restaurant Papablita,papablita.com,None Found,+52 962 626 6388,"México 200, Los Naranjos, Fovissste, 30779 Tapachula de Córdova y Ordóñez, Chis., México",Restaurante, Abre a las 10a.m.,Tapachula
Mangiare all'italiana,,None Found,+52 962 314 9839,"Plaza Boulevard Fraccionamiento, Los Naranjos, Fovissste, 30779 Tapachula de Córdova y Ordóñez, Chis., México",Restaurante italiano, Abre a las 7a.m.,Tapachula
Ostionería el Rinconcito,,None Found,+52 962 184 0144,"Hormiguillo 4, Reforma, Jose Marti, 30790 Tapachula de Córdova y Ordóñez, Chis., México",Marisquería, Abre a las 10a.m.,Tapachula
Las Cazuelitas,,None Found,+52 962 101 5543,"Segunda Privada Ote, Calle Quinta Pte. 9, 30700 Tapachula de Córdova y Ordóñez, Chis., México",Restaurante, Abre a las 8a.m. del lun,Tapachula
BAOS Mar y Tierra,restaurantebaos.com,None Found,+52 962 621 0243,"Camino a playa linda Km 6, 5 S/N, 30830 Playa Linda, Chis., México",Marisquería, Abre a las 9:30a.m.,Tapachula
Restaurante Tapachula,,None Found,+52 962 222 1491,"5a norte 7, entre 1a y central oriente, Los Naranjos, Centro, 30830 Tapachula de Córdova y Ordóñez, Chis., México",Restaurante mexicano, Abre a las 8a.m.,Tapachula
El Tiburón Gaucho Seafood and Steakhouse,facebook.com,None Found,+52 962 259 3942,"Carr. a Puerto Madero, Los Naranjos, Tapachula, 30797 Tapachula de Córdova y Ordóñez, Chis., México",Parrilla, Abre a las 8a.m.,Tapachula
El Bebedero Tapachula,facebook.com,None Found,+52 961 263 7701,"C. 20. Ote. 11, Los Naranjos, San Sebastian, 30700 Tapachula de Córdova y Ordóñez, Chis., México",Restaurante familiar, Abre a las 12p.m.,Tapachula
Papa-Raya,,None Found,+52 962 625 5958,"4 Avenida Sur 3B, Los Naranjos, Centro, 30830 Tapachula de Córdova y Ordóñez, Chis., México",Marisquería, Abre a las 11a.m.,Tapachula
DALL´ITALIANO,facebook.com,None Found,+52 962 294 3245,"Central Sur entre 18 Y 20 PONIENTE, Los Naranjos, PLAZA LA ESTACION, 30792 Tapachula de Córdova y Ordóñez, Chis., México",Pizzería, Abre a las 2p.m.,Tapachula
