Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurante Casa Vieja,facebook.com,Platos tradicionales como chiles en nogada y chalupas servidos en una casa colonial romántica y elegante.,+52 238 382 1005,"Calle 1 Pte 108, Centro de la Ciudad, 75700 Tehuacán, Pue., México",Restaurante mexicano, Abre a las 8a.m.,Tehuacán
Restaurante Grilia,facebook.com,"Restaurante tranquilo con gastronomía italiana familiar, como pizza y pasta a la leña.",+52 238 382 5099,"C. 12 Sur 107, Arcadia, 75760 Tehuacán, Pue., México",Pizzería, Abre a las 2p.m.,Tehuacán
Brasa Brasil Tehuacan,,None Found,+52 238 384 7430,"Av Independencia Pte 2405, Reforma, 75760 Tehuacán, Pue., México",Restaurante brasileño, Abre a las 10a.m.,Tehuacán
Molcajetes Restaurant en Tehuacan,restaurantetehuacan.com,None Found,+52 238 382 4795,"C. 15 Pte. 148, Morelos, 75770 Tehuacán, Pue., México",Restaurante mexicano, Abre a las 11a.m.,Tehuacán
Mayana Restaurante,facebook.com,None Found,+52 238 384 8345,"Av Independencia Pte 2417, Reforma, 75760 Tehuacán, Pue., México",Buffet libre, Abre a las 8a.m.,Tehuacán
La Casa del Capitan,,None Found,+52 238 138 2495,"Calle 4 Pte 1410, Aquiles Serdán, 75750 Tehuacán, Pue., México",Restaurante, Abre a las 7:30a.m.,Tehuacán
Casa Morales,,None Found,+52 238 688 2157,"C. 26 Nte. 128, Zona Alta, 75750 Tehuacán, Pue., México",Restaurante, Abre a las 7a.m.,Tehuacán
La Mansión,,None Found,,"Calle 4 Pte 115, Centro de la Ciudad, 75700 Tehuacán, Pue., México",Restaurante, Cierra a las 2a.m. ,Tehuacán
Tolé Tolé,facebook.com,None Found,,"7 1 Ote y 3 Ote 202, C. 1 Sur, Centro de la Ciudad, 75700 Tehuacán, Pue., México",Bar restaurante, Cierra a las 2:30a.m. ,Tehuacán
El Zedro's,,None Found,+52 238 382 4403,"Calle 1 Pte 107 B, Centro de la Ciudad, 75700 Tehuacán, Pue., México",Restaurante, Abre a las 8a.m.,Tehuacán
