Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Océano Dorado,eloceanodorado.com,Extenso jardín con comedor abierto bajo una palapa en el que se ofrecen mariscos en un ambiente familiar.,+52 777 326 6657,"C. Fortalecimiento Municipal s/n, Las Animas, 62583 Temixco, Mor., México",Marisquería, Abre a las 11a.m.,Temixco
Mariscos Tía Licha Suc.Temixco,,None Found,+52 777 326 6372,"C. Fortalecimiento Municipal 107, Las Animas, 62583 Temixco, Mor., México",Marisquería,,Temixco
La Mestiza,,None Found,+52 777 563 4965,"Calle 5 de mayo S/N Plaza Pabellón Temixco Local 4 Col, Miguel Hidalgo, 62580 Temixco, Mor., México",, Cierra a las 8p.m.,Temixco
Refin restaurante y parrilla mexicana,,None Found,+52 777 130 8670,"C. Canal 27, Miguel Hidalgo, 62585 Temixco, Mor., México",Restaurante familiar, Abre a las 8a.m.,Temixco
El Lagarto Marinero,,None Found,+52 777 244 7852,"C. Fortalecimiento Municipal 37, Las Animas, 62583 Temixco, Mor., México",Bar restaurante, Abre a las 11a.m.,Temixco
Taquería EL PASO Acatlipa Temixco,,None Found,+52 777 435 9509,"Adolfo Lopez Mateos Carr. Federal Mexico - Acapulco 107, La Ribera, 62586 Temixco, Mor., México",Taquería, Cierra a las 12:30p.m. ,Temixco
El Campestre de Acatlipa,facebook.com,None Found,+52 777 385 1475,"Taxco - Cuernavaca 185, Centro, 62507 Temixco, Mor., México",Restaurante, Abre a las 8:30a.m.,Temixco
El apancle,,None Found,,"5 de Mayo 6, Miguel Hidalgo, 62585 Temixco, Mor., México",Restaurante, Abre a las 8:20a.m.,Temixco
Taquería El Primo,,None Found,+52 777 242 8540,"Calle Emiliano Zapata Km 84, Centro, 62580 Temixco, Mor., México",Taquería, Cierra a las 12:30a.m.,Temixco
El Rincón De Las Alitas,ueniweb.com,None Found,+52 55 4133 1827,"Fco. I Madero 37, Centro, 62580 Temixco, Mor., México",Restaurante de alas de pollo, Abre a las 9a.m.,Temixco
Sanborcito de la tia Mine,,None Found,,"5 de Mayo 6, Miguel Hidalgo, 62585 Temixco, Mor., México",Restaurante, Abre a las 8a.m.,Temixco
