Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Don Gil,,None Found,+52 594 957 5582,"Km. 32, Lechería - Texcoco, San Miguel Totolcingo, 55882 Tepexpan, Méx., México",Restaurante mexicano, Abre a las 7a.m.,Tepexpan
El Pulpo,,None Found,+52 55 6501 0707,"Km. 34.5 Carretera, México Pirámides, Tepexpan Centro, 55885 Tepexpan, Méx., México",Marisquería, Abre a las 9a.m.,Tepexpan
El Sazon del Chef,facebook.com,None Found,+52 55 3199 9661,"16 de septiembre No 53 Chimalpa, 55885 Tepexpan, Méx., México",Restaurante, Abre a las 9a.m.,Tepexpan
El crucero caldos de gallina,,None Found,+52 726 168 7809,"Manzana 027, Anahuac 1ra Secc, 55884 Tepexpan, Méx., México",Restaurante mexicano,,Tepexpan
"EL PACIFICO ""AGUACHILE & BEER""",facebook.com,None Found,+52 594 108 4491,"Autop. México-Pirámides Manzana 040 Km 34.5, Tepexpan Centro, 55885 Tepexpan, Méx., México",Restaurante, Abre a las 11a.m.,Tepexpan
Alas Buenas Tepexpan,,None Found,+52 55 8123 5294,"C. Nativitas Manzana 017, La Lola, 55885 Tepexpan, Méx., México",Restaurante, Cierra a las 10a.m.,Tepexpan
El Rincon Del Sabor Mexicano,,None Found,,"55885, Independencia 44, Nueva Guadalupe, Tepexpan, Méx., México",Restaurante mexicano, Abre a las 8a.m.,Tepexpan
Taqueria LOS MIXES Tepexpan,,None Found,+52 55 6191 2232,"México 132 Manzana 027, Anahuac 1ra Secc, 55884 Tepexpan, Méx., México",Taquería, Abre a las 2p.m.,Tepexpan
Cantalagua,,None Found,,"Cda. Mineral 24-15, Loma Bonita, 55800 Tepexpan, Méx., México",Restaurante, Abre a las 9a.m.,Tepexpan
Taquería“LosMixes”,,None Found,+52 55 2113 1174,"Emiliano Zapata 45, Los Angeles, 55882 Tepexpan, Méx., México",Restaurante, Abre a las 2p.m.,Tepexpan
Las Cazuelas II,,None Found,,"Av. Tepexpan Manzana 005 Km 34.5, Tepexpan, Granjas Familiares, 55875 Acolman de Nezahualcóyotl, Méx., México",Restaurante especializado en soul food, Abre a las 9a.m.,Tepexpan
*Mesón Jocanabe*,,None Found,,"Carretera libre México pirámides No2 Tepexpan carretera Acolman, Tepexpan Centro, 55885 Tepexpan, Méx., México",Cafetería, Abre a las 12p.m.,Tepexpan
Zapata,,None Found,,"Emiliano Zapata s/n, Emiliano Zapata, 55885 Acolman de Nezahualcóyotl, Méx., México",Restaurante mexicano, Abre a las 10a.m.,Tepexpan
Taqueria EL HUIZACHE,,None Found,+52 55 2052 1091,"Carr. México-teotihuacan 34, Anahuac 1ra Secc, 55875 Tepexpan, Méx., México",Taquería, Abre a las 2p.m.,Tepexpan
Caldos De Gallina Dany,,None Found,,"Manzana 015, Los Angeles, 55882 Tepexpan, Méx., México",Restaurante de sopas, Abre a las 8a.m.,Tepexpan
Cafe La Mujer De Tepexpan,experiencia.edomex.gob.mx,None Found,+52 594 957 6062,"Agustín de Iturbide 3, Tepexpan Centro, 55885 Tepexpan, Méx., México",Cafetería, Abre a las 2:30p.m.,Tepexpan
"taqueria Y Parrilla "" El Rincon Del Taco""",,None Found,,"Carr. México-teotihuacan 5, Granjas Familiares, 55875 Tepexpan, Méx., México",Taquería, Abre a las 3p.m.,Tepexpan
Caldos de gallina y Mariscos El crucero,,None Found,+52 726 168 7809,"México 132 Manzana 005, Granjas Familiares, 55885 Tepexpan, Méx., México",Restaurante de sopas, Abre a las 9a.m.,Tepexpan
Taqueria la jungla,,None Found,+52 55 1375 4917,"Mexico - Teotihuacan 6 km 34.5, Tepexpan Centro, 55885 Tepexpan, México",Taquería, Abre a las 6p.m.,Tepexpan
Comedor Familiar Tepexpan,,None Found,+52 55 2866 3865,"México - Tulancingo 318 km 34.5, Tepexpan Centro, 55885 Tepexpan, Méx., México",Restaurante mexicano, Abre a las 10a.m. del lun,Tepexpan
Cove Snacks,m.facebook.com,None Found,+52 55 6695 7506,"C. 5 de Mayo 48, Tetexcala, 55886 Tepexpan, Méx., México",Restaurante, Abre a la 1p.m.,Tepexpan
Taquería la Cruz,,None Found,+52 594 957 0625,"Niño Artillero Manzana 010, Anahuac 1ra Secc, 55885 Tepexpan, Méx., México",Taquería, Abre a las 8a.m.,Tepexpan
Cocina Económica Lauris,,None Found,,"2-A, Santo Entierro, Tepexpan Centro, 55885 Tepexpan, Méx., México",Restaurante, Abre a las 7a.m. del lun,Tepexpan
EL REY TIBURON TEPEXPAN,,None Found,,"Tulancingo - Ecatepec De Morelos, Anahuac 1ra Secc, 55885 Tepexpan, Méx., México",Marisquería, Abre a las 9:30a.m.,Tepexpan
MEXSAN Comida mexicana,,None Found,,"Carr. México-teotihuacan 21, Granjas Familiares, 55874 Tepexpan, Méx., México",Restaurante, Abre a las 12:30p.m.,Tepexpan
"Cocina Economica ""La Güera""",,None Found,,"Manzana 025, La Lola, 55885 Tepexpan, Méx., México",Restaurante, Abre a las 10a.m. del lun,Tepexpan
La Espadaña de Acolman,,None Found,+52 55 7475 4638,"Calz. de Los Agustinos 5, Centro, 55870 Acolman de Nezahualcóyotl, Méx., México",Restaurante, Abre a las 9a.m.,Tepexpan
"Cocina ""La Rana""",,None Found,+52 55 6091 2893,"Manzana 023, Los Angeles, 55882 Tepexpan, Méx., México",Restaurante familiar, Abre a las 8a.m. del lun,Tepexpan
"""EL CASTAN""",,None Found,+52 712 116 8103,"Manzana 005, 50830 Manzana Segunda de Santa Cruz Tepexpan, Méx., México",Restaurante, Abre a las 9a.m.,Tepexpan
ATTRAVERSIAMO COFFEE,facebook.com,None Found,,"C. Los Reyes #6, Tepexpan Centro, 55885 Tepexpan, Méx., México",Cafetería, Abre a las 10a.m.,Tepexpan
TORTILLERIA MI MAIZ,,None Found,+52 55 1389 1655,"Carr. México-teotihuacan Manzana 040, Tepexpan Centro, 55885 Tepexpan, Méx., México",Supermercado, Abre a las 8a.m.,Tepexpan
Sagrade Corazón,,None Found,,"Av. México 17-B, Anahuac 1ra Secc, 55884 Tepexpan, Méx., México",Restaurante,,Tepexpan
Bencho Burguer's,,None Found,+52 56 1634 1186,"Cerca de C. Cerezo 592, Tepexpan Centro, 55885 Tepexpan, 55885 Mexico, Méx., México",Hamburguesería, Abre a las 5p.m.,Tepexpan
Pizza Don,,None Found,+52 55 2237 7736,"Boulevard del Lago Bulevard del lago mz 18 Lt 11, 55883 Tepexpan, Méx., México",Pizzería, Abre a las 12p.m.,Tepexpan
El buen comer,,None Found,+52 55 1680 7563,"Av. de las Granjas 38, Tepexpan Centro, 55885 Tepexpan, Méx., México",Restaurante, Abre a las 10a.m. del lun,Tepexpan
La Misión de Los Frailes,,None Found,+52 594 957 1084,"Calz. de Los Agustinos Manzana 015, Centro, 55870 Acolman de Nezahualcóyotl, Méx., México",Restaurante mexicano, Abre a las 8a.m.,Tepexpan
Michi Wings,,None Found,+52 55 1294 7091,"Pl. de la Constitución 15, Tepexpan Centro, 55885 Tepexpan, Méx., México",Hamburguesería, Abre a las 5p.m.,Tepexpan
Restaurant Rocani,,None Found,+52 55 6629 5637,"Miguel Hidalgo 18, Anahuac 1ra Secc, 55885 Tepexpan, Méx., México",Restaurante mexicano, Abre a las 8a.m.,Tepexpan
Cochinita Pibil Chetumalito,,None Found,,"Av. del Trabajo Manzana 017, Nueva Guadalupe, 55885 Tepexpan, Méx., México",Restaurante, Abre a las 6p.m. del jue,Tepexpan
Carnitas Vergara,,None Found,,"Callejón Morelos, Lázaro Cárdenas 1, San Miguel Totolcingo, 55884 Tepexpan, Méx., México",Restaurante, Abre a las 8a.m.,Tepexpan
Ooh la la crepes,facebook.com,None Found,,"Pl. de la Constitución, Tepexpan Centro, 55885 Tepexpan, Méx., México",Crepería, Abre a las 6p.m.,Tepexpan
La grande de Acolman,facebook.com,None Found,+52 55 8196 4974,"J3H8+RW, 55885 Tepexpan, Méx., México",Restaurante mexicano, Abre a las 9a.m.,Tepexpan
