Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Villa Marina Restaurante Tijuana,villamarinarestaurante.com,"Lugar animado con amplio menú de platos con mariscos, además de filetes y cocteles clásicos.",+52 664 973 6868,"P.º de los Héroes 4449, Zona Urbana Rio Tijuana, 22320 Tijuana, B.C., México",Marisquería, Cierra a las 9p.m.,Tijuana
La Espadaña,espadana.com.mx,"Enchiladas, quesadillas y omelets en gran espacio decorado con azulejos y una entrada parecida a una iglesia.",+52 664 634 1488,"Blvrd Gral Rodolfo Sánchez Taboada 10813, Zona Urbana Rio Tijuana, 22010 Tijuana, B.C., México",Restaurante mexicano, Cierra a las 10p.m.,Tijuana
Lion Fish,lionfishrestaurant.com.mx,Dinámico restobar que ofrece un amplio menú de mariscos en un ambiente animado.,+52 664 438 7672,"Erasmo Castellanos Q. 1857, Zona Urbana Rio Tijuana, 22010 Tijuana, B.C., México",Marisquería, Cierra a las 11p.m.,Tijuana
Villa Marina Península,ggara.com,None Found,+52 664 974 7305,"Vía Rápida Ote. 170, Rio Tijuana 3ra Etapa, 22110 Tijuana, B.C., México",Marisquería, Cierra a las 10p.m.,Tijuana
Lion Fish - La Terraza,lionfishrestaurant.com.mx,"Restaurante luminoso en el que se ofrecen mariscos, tacos, filetes, postres, cocteles, tequilas y vinos.",+52 663 320 5000,"P.º del Río 6672-C, Río Tijuana 3a. Etapa, Rio Tijuana 3ra Etapa, 22226 Tijuana, B.C., México",Restaurante, Cierra a las 11p.m.,Tijuana
Lion Fish - La Terraza,lionfishrestaurant.com.mx,"Restaurante luminoso en el que se ofrecen mariscos, tacos, filetes, postres, cocteles, tequilas y vinos.",+52 663 320 5000,"P.º del Río 6672-C, Río Tijuana 3a. Etapa, Rio Tijuana 3ra Etapa, 22226 Tijuana, B.C., México",Restaurante, Cierra a las 11p.m.,Tijuana
Cabanna Restaurant,cabanna.com.mx,"Lugar colorido con ambiente vanguardista y terraza grande que ofrece antojitos mexicanos, mariscos y pizzas.",+52 664 681 8490,"Blvd. Agua Caliente Plaza Paseo Chapultepec 10387, Neidhart, 22020 Tijuana, B.C., México",Marisquería, Cierra a las 11p.m.,Tijuana
Misión 19,mision19.com,"Restaurante de lujo con degustaciones, que ofrece versiones creativas de la cocina clásica de Baja California.",+52 664 634 2493,"VIA Corporativo, 2, Misión de San Javier 10643, Zona Urbana Rio Tijuana, 22010 Tijuana, B.C., México",Restaurante, Cierra a las 10p.m.,Tijuana
Marenca Restaurante,marenca.shop,"Recinto elegante con gastronomía mexicana sofisticada, cocteles y una extensa lista de vinos.",+52 664 634 6419,"P.º de los Héroes 70, Zona Urbana Rio Tijuana, 22010 Tijuana, B.C., México",Restaurante de alta cocina, Cierra a las 11p.m.,Tijuana
Casa Plasencia,grupoplascencia.com,"Restaurante animado y amplio con murales, mariscos, platos españoles y mexicanos, y cervezas y cocteles.",+52 664 686 3604,"Robirosa 250, Aviacion, 22014 Tijuana, B.C., México",Restaurante, Cierra a las 10p.m.,Tijuana
Villa Saverios,villasaverios.com,"Local inspirado en una villa toscana, donde se sirven platos de lujo con influencias italianas y mexicanas.",+52 664 686 6442,"3151 Escuadrón 201, esquina con, Blvrd Gral Rodolfo Sánchez Taboada, Zona Río, Aviacion, 22010 Tijuana, B.C., México",Restaurante italiano, Cierra a las 10p.m.,Tijuana
La Casa Del Mole Poblano,facebook.com,Lugar colorido con decoración antigua y ambiente alegre especializado en cocina tradicional.,+52 664 684 7900,"P.º de los Héroes 10511, Defensores de, 22010 Tijuana, B.C., México",Restaurante mexicano, Cierra a las 9p.m.,Tijuana
Riochia7 La Cabaña del Artista,riochia7cafebistro.com,"Local íntimo con pisos de ladrillo, mesas de madera, platos de bistró, café artesanal y pasta.",+52 664 381 5069,"Independencia 6213, Castillo, 22050 Tijuana, B.C., México",Restaurante, Cierra a las 10p.m.,Tijuana
Mariscos el Mazateño Tijuana,mariscos-el-mazateo.shop,None Found,+52 664 607 1377,"Calz del Tecnológico 473, Tomas Aquino, 22414 Tijuana, B.C., México",Marisquería, Cierra a las 7p.m.,Tijuana
La Diferencia Restaurante,ladiferencia.com,"Restaurante de estilo hacienda con platos regionales, como chiles tatemados rellenos y asados con crema.",+52 664 634 7078,"Blvrd Gral Rodolfo Sánchez Taboada 10521, Zona Urbana Rio Tijuana, 22010 Tijuana, B.C., México",Restaurante mexicano, Cierra a las 9p.m.,Tijuana
Caesar's,grupoplascencia.com,"Restaurante emblemático de 1920 que sirve filete Wellington, caracoles y ensalada César preparada en la mesa.",+52 664 685 1927,"Av. Revolución 8190, Zona Centro, 22000 Tijuana, B.C., México",Restaurante de alta cocina, Cierra a las 10p.m.,Tijuana
La Justina,facebook.com,Restobar sencillo con platos informales y cocteles creativos.,+52 664 638 4936,"Av. Revolución 930, Zona Centro, 22000 Tijuana, B.C., México",Bar restaurante, Cierra a las 12a.m.,Tijuana
