Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
La Casa de Toño en Tlalnepantla,sucursales.lacasadetono.mx,None Found,+52 55 9331 4671,"Av Sor Juana Inés de La Cruz 80, San Lorenzo, 54033 Tlalnepantla, Méx., México",Restaurante mexicano, Cierra a las 11p.m.,Tlalnepantla de Baz
Lagrange Churrascaría Tlalnepantla,lagrangechurrascaria.com.mx,"Restaurant brasileño que ofrece carnes asadas en espadas y buffet, con cocteles tropicales y carta de vinos.",+52 55 5003 1651,"C. Fernando Montes de Oca 21, Industrial San Nicolas, 54030 Tlalnepantla, Méx., México",Restaurante brasileño, Cierra a las 11p.m.,Tlalnepantla de Baz
El Aduanero,grupocarolo.com.mx,None Found,+52 55 1665 6626,"Av Sor Juana Inés de La Cruz 280, San Lorenzo, 54033 Tlalnepantla, Méx., México",Restaurante mexicano, Cierra a las 12a.m.,Tlalnepantla de Baz
Casa Tinacal,casatinacal.com,"Espacio relajado y colorido con tacos, mariscos, filetes rústicos y mariachis en vivo.",+52 55 5397 7475,"Av. Dr. Gustavo Baz 222, La Loma, 54070 Tlalnepantla, Méx., México",Restaurante mexicano, Cierra a las 12a.m.,Tlalnepantla de Baz
El Villano Cocina de Brasa,,"Local contemporáneo y espacioso con platos de estilo sonorense, como tacos y cocteles.",+52 55 7258 9600,"Calle Mariano Escobedo 113, Tlalnepantla Centro, 54000 Tlalnepantla, Méx., México",Restaurante,,Tlalnepantla de Baz
El Rincón de los Morales,rincondelosmorales.com,None Found,+52 55 5565 4519,"Calle Berriozabal 57, San Javier, 54000 Tlalnepantla, Méx., México",Restaurante mexicano, Cierra a las 10p.m.,Tlalnepantla de Baz
Don Carbón Tlalnepantla,doncarbon.com.mx,None Found,+52 55 5929 0108,"San Andrés Atenco Nivel 2, local R-01 , Centro Comercial Sentura, 54040 Tlalnepantla, Méx., México",Restaurante, Cierra a las 12a.m.,Tlalnepantla de Baz
Asaderos Grill Plaza Tlalne Fashion,asaderosgrill.com.mx,None Found,+52 55 2839 4530,"Av Sor Juana Inés de La Cruz 280, San Lorenzo, 54033 Tlalnepantla, Méx., México",Restaurante, Cierra a las 11p.m.,Tlalnepantla de Baz
Taquerías El Fogón Mixe Gustavo Baz,,None Found,+52 55 5362 3642,"Av. Dr. Gustavo Baz 193B, El Mirador, 54080 Tlalnepantla, Méx., México",Taquería, Cierra a las 5a.m. del dom,Tlalnepantla de Baz
El Bife del Padrino Plaza Fashion Mall Tlalnepantla,,None Found,+52 55 6254 6128,"Av Sor Juana Inés de La Cruz 232, San Lorenzo, 54033 Tlalnepantla, Méx., México",Restaurante especializado en filetes, Cierra a las 12a.m.,Tlalnepantla de Baz
Perros y Burros Plaza Tlalne,perrosyburros.com,None Found,+52 55 7669 2309,"Av Sor Juana Inés de La Cruz 280, San Lorenzo, 54033 Tlalnepantla, Méx., México",Restaurante, Cierra a la 1a.m.,Tlalnepantla de Baz
Sonora Grill Mundo E,sonoragrill.com.mx,None Found,+52 55 5366 9520,"Perif. Blvd. Manuel Ávila Camacho 1007, Hab Jardines de Santa Monica, 54050 Tlalnepantla, Méx., México",Restaurante, Cierra a las 2a.m.,Tlalnepantla de Baz
Parrilla Urbana Mundo E,parrillaurbana.com.mx,None Found,+52 55 5084 5112,"Perif. Blvd. Manuel Ávila Camacho 1007, Hab Jardines de Santa Monica, 54050 Tlalnepantla, Méx., México",Bar restaurante, Cierra a las 2a.m.,Tlalnepantla de Baz
La Cervecería de Barrio Suc Tlalnepantla,lacerveceriadebarrio.mx,None Found,+52 55 2839 4550,"Av Sor Juana Inés de La Cruz 232-Int. 232 y 280, Del, San Lorenzo, 54030 Tlalnepantla, Méx., México",Bar restaurante, Cierra a la 1a.m.,Tlalnepantla de Baz
El Bajío,restauranteelbajio.com.mx,None Found,+52 55 5084 5052,"Perif. Blvd. Manuel Ávila Camacho 1007, Hab Jardines de Santa Monica, 54050 Tlalnepantla, Méx., México",Restaurante mexicano,,Tlalnepantla de Baz
Italianni's Arboledas,italiannis.com.mx,None Found,+52 55 5384 1613,"Autopista México - Querétaro 3985, Centro Industrial Tlalnepantla, 54030 Tlalnepantla, Méx., México",Restaurante italiano, Cierra a las 10p.m.,Tlalnepantla de Baz
Sumo Buffet Tlalnepantla,sumobuffet.mx,None Found,+52 55 1080 2989,"C. Vallarta 54, Tlalnepantla Centro, 54000 Tlalnepantla, Méx., México",Restaurante, Cierra a las 12a.m.,Tlalnepantla de Baz
Toks Mario Colin,toks.com.mx,None Found,+52 55 5384 1762,"C. Riva Palacio 62, Tlalnepantla Centro, 54000 Tlalnepantla, Méx., México",Restaurante mexicano, Cierra a las 11p.m.,Tlalnepantla de Baz
MOL cocina tradicional mexicana,molrestaurante.com.mx,None Found,+52 55 5003 1662,"Fernando Montes de Oca.21, Col. San Nicolás Tlaxcolpan, Tlalnepantla, 54030 Estado de México, Méx., México",Restaurante mexicano, 9p.m. ,Tlalnepantla de Baz
Vips Tlalnepantla,vips.com.mx,None Found,+52 53900463,"Av Sor Juana Inés de La Cruz 75, Col. Benito Juárez, 54068 Tlalnepantla, Méx., México",Restaurante mexicano, Cierra a las 11p.m.,Tlalnepantla de Baz
Taquería La Única,m.facebook.com,"Restaurante informal de dos pisos en el que se ofrecen abundantes platos caseros, cocteles y cervezas.",+52 55 5390 7045,"Av. Morelos 41, San Javier, 54030 Tlalnepantla, Méx., México",Taquería,,Tlalnepantla de Baz
La casa de Toño en Encuentro Tlalnepantla,sucursales.lacasadetono.mx,None Found,+52 55 9331 4671,"Local PA-R02. Col. Mpio, Av. Tlalnepantla-Tenayuca 25, San Bartolo Tenayuca, 54150 Tlalnepantla, Méx., México",Restaurante mexicano, Cierra a las 11p.m.,Tlalnepantla de Baz
"La Antigua ""Cantina""",,Restaurante y bar de toda la vida que ofrece buffet de comida mexicana y coctelería en un comedor tradicional.,+52 55 5565 5025,"Av. Dr. Gustavo Baz 2220, Centro, 54000 Tlalnepantla, Méx., México",Restaurante mexicano, Cierra a las 10p.m.,Tlalnepantla de Baz
"La Antigua ""Cantina""",,Restaurante y bar de toda la vida que ofrece buffet de comida mexicana y coctelería en un comedor tradicional.,+52 55 5565 5025,"Av. Dr. Gustavo Baz 2220, Centro, 54000 Tlalnepantla, Méx., México",Restaurante mexicano, Cierra a las 10p.m.,Tlalnepantla de Baz
Chalet Suizo,,None Found,+52 55 5370 4530,"Bulevar de Los Continentes 88, Valle Dorado, 54020 Tlalnepantla, Méx., México",Restaurante suizo, Cierra a las 10p.m.,Tlalnepantla de Baz
San Petter Tlalnepantla,,None Found,+52 55 8788 6133,"Av. Hidalgo 124, Hab la Romana, 54030 Tlalnepantla de Baz, 54030 México, Méx., México",Restaurante, Cierra a las 12a.m.,Tlalnepantla de Baz
Casa De Los Abuelos - Valle Dorado,casadelosabuelos.com.mx,None Found,+52 55 7261 4009,"Bulevar de Los Continentes 106, Valle Dorado, 54020 Tlalnepantla, Méx., México",Restaurante, Cierra a las 11p.m.,Tlalnepantla de Baz
Restaurante Bar Lino,,None Found,+52 55 5565 0551,"C. Porfirio Díaz 32, Tlalnepantla Centro, 54000 Tlalnepantla, Méx., México",Taquería,,Tlalnepantla de Baz
La Catedral Restaurante Bar,,None Found,+52 55 5565 4503,"Plaza, Gustavo Baz 9, Tlalnepantla Centro, 54000 Tlalnepantla, Méx., México",Bar restaurante, Cierra a las 10p.m.,Tlalnepantla de Baz
La 3a Ronda Mundo E,la3aronda.com,None Found,+52 56 5711 0433,"Perif. Blvd. Manuel Ávila Camacho 1007, Hab Jardines de Santa Monica, 54050 Tlalnepantla, Méx., México",Restaurante mexicano, Cierra a las 2a.m.,Tlalnepantla de Baz
Proyecto Parrilla - Restaurante,proyectoparrilla.com,None Found,+52 55 8427 1998,"Calle Calle de Tepotzotlán 61-57-61, Hab Jardines de Santa Monica, 54050 Tlalnepantla, Méx., México",Servicio de catering, Cierra a las 10p.m.,Tlalnepantla de Baz
Fisher's Arboledas,fishers.com.mx,None Found,+52 55 5370 5623,"Calz. de los Jinetes 1, Las Arboledas, 54026 Tlalnepantla, Méx., México",Marisquería, Cierra a las 11p.m.,Tlalnepantla de Baz
Fisher's Arboledas,fishers.com.mx,None Found,+52 55 5370 5623,"Calz. de los Jinetes 1, Las Arboledas, 54026 Tlalnepantla, Méx., México",Marisquería, Cierra a las 11p.m.,Tlalnepantla de Baz
