Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurante Casa Luna,facebook.com,"Bello local de estilo hacienda con terraza, filete de carne, sopa de mariscos y el popular mole de pollo.",+52 33 1592 2061,"Calle Independencia 211, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante mexicano, Cierra a las 12:30a.m.,Tlaquepaque
El Parián de Tlaquepaque,,"Bar con patio conocido por sus churros, carne a la parrilla tradicional y mariachis.",+52 33 1310 2614,"Calle Progreso 15, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Bar restaurante, Cierra a la 1a.m.,Tlaquepaque
Real San Pedro,realsanpedro.mx,Delicias tradicionales y desayuno en un local del viejo mundo con decoración artística.,+52 33 3659 3631,"Calle Independencia 163, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante, Cierra a las 11p.m.,Tlaquepaque
TlaquePasta Restaurant,quintadonjose.com,"Local informal y alegre con terraza donde se sirven pizza, pasta y otros clásicos italianos.",+52 33 3657 2483,"C. Reforma 139, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante italiano, Cierra a las 10p.m.,Tlaquepaque
La Mata Tinta,lamatatinta.com,"Restobar moderno con platos locales y pasta, además de una variedad de vinos y tequila.",+52 33 3659 0207,"C. Juárez 145-interior 13, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Bar restaurante, Cierra a las 11p.m.,Tlaquepaque
Barolo 71,,None Found,+52 33 2300 0470,"C. Prisciliano Sánchez 71-C, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante italiano, Cierra a las 11p.m.,Tlaquepaque
El Abajeño Tlaquepaque,abajeno.com,Casona colonial con espacio para grupos y patio para probar sus platillos mexicanos clásicos al aire libre.,+52 33 3635 9015,"C. Juárez 231, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Bar restaurante, Cierra a las 11p.m.,Tlaquepaque
Río San Pedro,facebook.com,None Found,+52 33 3659 6136,"C. Juárez 300, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante mexicano, Cierra a las 12a.m.,Tlaquepaque
Restaurante Casa Fuerte,facebook.com,None Found,+52 33 3639 6474,"Calle Independencia 224, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante, 9p.m. ,Tlaquepaque
1910 Cocina De México,facebook.com,None Found,+52 33 3140 1503,"C. Prisciliano Sánchez 4, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante, Cierra a las 12a.m.,Tlaquepaque
Agave Restaurante & Bar,instagram.com,None Found,+52 33 2204 0766,"Calle Independencia 280, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante, Cierra a las 10p.m.,Tlaquepaque
Bravo Cocina y Agave,,None Found,+52 33 1574 8385,"C. Morelos 206, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante, Cierra a las 11p.m.,Tlaquepaque
Carbón Parrilla de Barrio - Tlaquepaque,carbonparrilladebarrio.com,None Found,+52 33 3160 1359,"C. Juárez 144b, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Parrilla, Cierra a las 2a.m.,Tlaquepaque
El Patio Tlaquepaque,elpatio.com.mx,"Espacio animado con mariachis en vivo, tacos, enchiladas, platos mexicanos de mariscos y cocteles.",+52 33 3635 1108,"Calle Independencia 186, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante mexicano, 9p.m. ,Tlaquepaque
El Tacote,facebook.com,None Found,+52 33 1578 0135,"C. Reforma 263, De Santa María, 45500 San Pedro Tlaquepaque, Jal., México",Bar restaurante, 9p.m. ,Tlaquepaque
Restaurante Massi,,None Found,+52 33 3860 0804,"Calz. Lázaro Cárdenas #340, El Alamo, 45560 San Pedro Tlaquepaque, Jal., México",Restaurante, Cierra a las 11p.m.,Tlaquepaque
El Rincón de La Abuela,,None Found,+52 33 1578 0194,"Calle Independencia 131, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante mexicano, 9:30p.m. ,Tlaquepaque
Restaurante La Hermana María,lahermanamaria.com,None Found,+52 33 3150 7991,"C. Herrera y Cairo 53, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante mexicano, Abre a las 8a.m. del dom,Tlaquepaque
La Gusguería Papas and Grill,lagusgueria.com,"Cafetería amigable que sirve hamburguesas, alitas y batidos, con bar de ensaladas y área de juegos infantiles.",+52 33 1578 0960,"Calle Matamoros 100, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Parrilla, Cierra a las 11:45p.m.,Tlaquepaque
Restaurante Cielito Lindo,instagram.com,None Found,+52 33 2204 1765,"Calle Independencia 208, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante,,Tlaquepaque
"Los 7 Pozoles Suc. ""Revolución""",,None Found,+52 33 3860 4782,"C. Batalla de Celaya 3149, Fraccionamiento Revolución, 45589 San Pedro Tlaquepaque, Jal., México",Restaurante de desayunos, Cierra a las 11p.m.,Tlaquepaque
El Gorderon Asador Libre,elgorderonasadorlibre.com,None Found,+52 33 3926 0664,"Calle Contreras Medellín 167, San Juan, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante de desayunos, Cierra a las 11p.m.,Tlaquepaque
TLAQUEPULQUE,facebook.com,None Found,+52 33 3659 6199,"Calle Independencia 336, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante,,Tlaquepaque
CASA DOLORES - Tlaquepaque,casadolores.mx,None Found,+52 33 1653 9390,"Calle Independencia 111, Centro, San Pedro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante mexicano, Cierra a las 12a.m.,Tlaquepaque
Cafe Chai Tlaquepaque,chai.com.mx,None Found,+52 33 1653 9401,"Calle Independencia 176, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante, Cierra a las 11p.m.,Tlaquepaque
Mariscos Puerto San Pedro,,None Found,+52 33 3659 2229,"Calle Independencia 156, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Marisquería, Abre a las 9a.m. del dom,Tlaquepaque
Cenaduría Los Merequetengues,losmerequetengues.com,"Restaurante antiguo, colorido y animado, donde se sirve abundante comida casera mexicana.",+52 33 3639 3814,"C. Florida 83, San Juan, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante mexicano, Cierra a las 11p.m.,Tlaquepaque
Café San Pedro - Tlaquepaque,cafesanpedro.com.mx,None Found,+52 33 3639 0616,"C. Juárez 85, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Cafetería, Cierra a las 11p.m.,Tlaquepaque
La Rosetta Planta Alta,,None Found,+52 33 1657 7543,"Guillermo Prieto #71, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante italiano, Cierra a las 12a.m.,Tlaquepaque
Ay María,,None Found,+52 33 4543 8259,"C. Juárez 17, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante, Abre a las 8:30a.m. del dom,Tlaquepaque
CHILES & BEER,,None Found,+52 33 3238 7058,"C. Morelos 225, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Marisquería, 9p.m. ,Tlaquepaque
DIRTY JACK,facebook.com,None Found,+52 33 1894 6459,"Blvd. Gral. Marcelino García Barragán 1909, San Pedro, 45500 San Pedro Tlaquepaque, Jal., México",Bar restaurante, Cierra a las 12a.m.,Tlaquepaque
Birriería El Chololo,facebook.com,"Restaurante informal con tazones caseros de chile, además de quesadillas y nachos clásicos.",+52 33 3670 0813,"Calle, San Antonio 288, Las Juntas, 45590 San Pedro Tlaquepaque, Jal., México",Restaurante mexicano, Abre a las 9a.m. del dom,Tlaquepaque
Casa de los Aguachiles,,None Found,+52 33 3666 1727,"Carretera, Carr. Guadalajara - Chapala 4176, Parque Industrial El Álamo, Alamo Industrial, 45593 San Pedro Tlaquepaque, Jal., México",Marisquería, Abre a las 12p.m. del dom,Tlaquepaque
Hacienda Canelos Tlaquepaque,,None Found,+52 33 2163 8124,"Calle Independencia 270, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante mexicano, Cierra a las 12a.m.,Tlaquepaque
Ceviche Restaurante Tlaquepaque,,None Found,+52 33 5120 1673,"Calle Río Juárez 479, Col. La Loma, 44879 Guadalajara, Jal., México",Restaurante mexicano, Abre a las 12p.m. del dom,Tlaquepaque
Nola Grill,nolagrill.mx,None Found,+52 33 1598 3953,"C. Morelos 6, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante especializado en chuletas, Cierra a las 11p.m.,Tlaquepaque
1000 Caguamas Tlaquepaque,1000caguamas.com,None Found,+52 33 1029 2503,"calle, Río Independencia 373, 45560 San Pedro Tlaquepaque, Jal., México",Marisquería, Cierra a las 12a.m.,Tlaquepaque
Sayulitros Tlaquepaque,,None Found,+52 33 1529 0887,"Calle Contreras Medellín 169, San Juan, 45500 San Pedro Tlaquepaque, Jal., México",Marisquería, Cierra a las 11p.m.,Tlaquepaque
LA CATALINA food and drink Tlaquepaque,,None Found,+52 33 4363 7881,"C. Zalatitán 652, Lindavista, 45520 San Pedro Tlaquepaque, Jal., México",Restaurante mexicano,,Tlaquepaque
D'Vitto's Pizzería,facebook.com,"Restaurante clásico con espaciosa terraza en donde se ofrece pizza a la leña, botanas y cervezas importadas.",+52 33 3657 6801,"C. Donato Guerra 169, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Pizzería, Cierra a las 11p.m.,Tlaquepaque
tlaquejarros,tlaquejarros.com,None Found,+52 33 1083 1320,"Calle Independencia 286-2, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante mexicano, Cierra a las 11p.m.,Tlaquepaque
Restaurante El Artesano Tlaquepaque,,None Found,+52 33 1001 0810,"C. Francisco I. Madero 70, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante, Cierra a las 10p.m.,Tlaquepaque
El Gran Rodeo,,None Found,+52 33 3690 0965,"Libre a Zapotlanejo 5020, San Pedrito, 45625 San Pedro Tlaquepaque, Jal., México",Restaurante mexicano, Cierra a las 10p.m.,Tlaquepaque
Progreso Restaurante,mariscosprogreso.com.mx,None Found,+52 33 3657 4995,"Calle Progreso 80, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante, Abre a las 12p.m. del dom,Tlaquepaque
Restaurante,,None Found,,"Guillermo Prieto 80, Centro, 45501 San Pedro Tlaquepaque, Jal., México",Restaurante,,Tlaquepaque
Riff Pub Tlaquepaque,,None Found,+52 33 3545 4250,"C. Constitución 11, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Bar restaurante,,Tlaquepaque
Karne Garibaldi Sucursal Tlaquepaque,karnegaribaldi.com.mx,Un restaurante amplio y casual que ofrece recetas mexicanas y que se especializa en carne en su jugo.,+52 33 4737 4884,"Blvd. Gral. Marcelino García Barragán 1627, Cd Universitaria, 44840 Guadalajara, Jal., México",Restaurante mexicano, Cierra a las 10p.m.,Tlaquepaque
El Canelo,,"Sitio espacioso con carnes asadas al carbón estilo mexicano, mesas al aire libre y mariachis en vivo.",+52 33 3690 0904,"Carr. libre Guadalajara - Zapotlanejo 3852, Tateposco, 45630 Guadalajara, Jal., México",Restaurante, Abre a las 12p.m. del dom,Tlaquepaque
Kshitoo Sushi & Beer,facebook.com,None Found,+52 33 3838 0071,"C. Francisco de Miranda 26 A, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Restaurante japonés, Cierra a las 10p.m.,Tlaquepaque
Cenaduría Victoria,,None Found,,"Santos degollado n,-182 San Pedro Tlaquepaque, 45500 Guadalajara, Jal., México",Restaurante mexicano, Cierra a las 11p.m.,Tlaquepaque
El Huachinango,,None Found,+52 33 2265 7138,"C. Rosales 57b, San Francisco, 45500 San Pedro Tlaquepaque, Jal., México",Marisquería, Abre a la 1p.m. del dom,Tlaquepaque
Gavilan Cantina,instagram.com,None Found,+52 33 1361 7441,"Calle Independencia 285, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Cervecería, Cierra a las 2a.m.,Tlaquepaque
La Valentina Tlaquepaque Pizzas a La Leña,,"Pizzería sencilla con terraza en la azotea, comida al aire libre y vista a la ciudad.",+52 33 3657 2741,"C. Donato Guerra 165B, Centro, 45500 San Pedro Tlaquepaque, Jal., México",Pizzería, Cierra a la 1a.m.,Tlaquepaque
