Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Petra Fonda,es-la.facebook.com,Restaurante con obras de arte ubicado en una amplia casa de 1907 donde se sirven cocteles y comida mexicana.,+52 722 174 5080,"C. Mariano Matamoros 213, Centro, 50000 Toluca de Lerdo, Méx., México",Restaurante, Abre a las 9a.m.,Toluca de Lerdo
Casa Azul,,None Found,+52 55 8233 9903,"Horacio Zúñiga 112, Francisco Murguía, 50130 Toluca de Lerdo, Méx., México",Bar restaurante, Abre a las 9a.m.,Toluca de Lerdo
Bistro Mecha Centro Histórico,bistromecha.com.mx,Restaurante sencillo donde se ofrecen platos internacionales en un ambiente informal con un patio.,+52 722 490 5000,"50000 Juan Aldama Nte. 102, Centro, 50000 Toluca de Lerdo, Méx., México",Taberna, Abre a las 8:30a.m.,Toluca de Lerdo
Lusso Cafe,somoslusso.com,"Café/restaurante encantador con brunches internacionales y comida para compartir, como embutidos y fondue.",+52 722 167 2819,"Av. Primero de Mayo 614, Barrio de Sta Clara, 50150 Toluca de Lerdo, Méx., México",Restaurante,,Toluca de Lerdo
Restaurante Apapacho Toluca,apapachotoluca.mx,None Found,+52 722 214 2651,"Calle Josefa Ortiz de D. 202, Barrio de Sta Clara, 50090 Toluca de Lerdo, Méx., México",Restaurante, Abre a las 9a.m.,Toluca de Lerdo
Ciátro Gourmet,ciatrogourmet.online,None Found,+52 722 489 8136,"C. Andrés Quintana Roo Nte. Sur 210, Barrio de la Merced, 50080 Toluca de Lerdo, Méx., México",Restaurante, Abre a las 8a.m.,Toluca de Lerdo
Piedra Luna,piedralunacucina.com.mx,None Found,+52 729 490 8058,"Silviano García 102, La Merced, 50080 Toluca de Lerdo, Méx., México",Restaurante, Abre a las 9a.m.,Toluca de Lerdo
Amaranta: Cocina Mexiquense Contemporánea,amarantarestaurante.com,Gastronomía mexicana moderna en un comedor elegante con menús para el almuerzo y desayunos.,+52 722 280 8265,"Calle Francisco Murguía 16 Ote. Poniente 402, Francisco Murguía, 50130 Toluca de Lerdo, Méx., México",Restaurante mexicano, Abre a las 9a.m.,Toluca de Lerdo
La Shunquita,lashunquita.com,None Found,+52 722 363 7180,"Instituto Literario 421, 5 de Mayo, 50090 Toluca de Lerdo, Méx., México",Restaurante mexicano, Abre a las 9a.m.,Toluca de Lerdo
Hidalgo Restaurante,,None Found,+52 722 215 2793,"Av. Miguel Hidalgo 231, Centro, 50000 Toluca de Lerdo, Méx., México",Restaurante mexicano,,Toluca de Lerdo
El Bife Toreado,elbifetoreado.com,"Restaurante informal con hamburguesas y carnes abundantes, bocadillos y postres caseros.",+52 722 229 1685,"Av. Paseo Tollocan 1210, Santa Ana Tlapaltitlán, 52160 Santa Ana Tlapaltitlán, Méx., México",Restaurante mexicano, Abre a la 1p.m.,Toluca de Lerdo
BISTRÓ MECHA PRIMERO DE MAYO,,None Found,+52 722 318 4535,"Av. Primero de Mayo 517, Barrio de Sta Clara, 50090 Toluca de Lerdo, Méx., México",Restaurante, Abre a las 9:30a.m.,Toluca de Lerdo
Casa Musas,casamusas.art,"Restaurante tranquilo con música en vivo, especialidad en carnes, hamburguesas y vinos.",+52 722 919 7685,"Felipe Villarello 107, Barrio de Sta Clara, 50090 Toluca de Lerdo, Méx., México",Restaurante, Abre a las 9a.m.,Toluca de Lerdo
La Botticella,labotticella.com.mx,None Found,+52 722 167 3165,"España 404, Barrio de Zopilocalco Sur, 50090 Toluca de Lerdo, Méx., México",Restaurante italiano, Abre a la 1p.m.,Toluca de Lerdo
Santa Mónica,facebook.com,Acogedor restaurante decorado con coloridas artesanías que sirve platillos de la cocina poblana tradicional.,+52 722 210 7060,"José Vicente Villada 450, Francisco Murguía, 50130 Toluca de Lerdo, Méx., México",Restaurante mexicano, Abre a las 8a.m.,Toluca de Lerdo
Restaurante Porta di Roma,,None Found,+52 722 214 0232,"Calle Nicolás Bravo Sur 540-A, Francisco Murguía, 50130 Toluca de Lerdo, Méx., México",Restaurante italiano, Abre a la 1p.m.,Toluca de Lerdo
