Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
El Rincón Del Sol,instagram.com,"Lugar tranquilo y colorido donde se sirven platos clásicos mexicanos, cocteles de tequila y cerveza.",+52 33 3683 1989,"Calle 16 de Septiembre 61B-C, Tonalá Centro, 45400 Tonalá, Jal., México",Restaurante mexicano, 10p.m. ,Tonalá
VINO DE MAR ( Sucursal Tonalá),,None Found,+52 33 1984 6537,"C. Francisco I. Madero 150, Tonalá Centro, 45400 Tonalá, Jal., México",, 10p.m. ,Tonalá
El Zaguán de Doña Coco,facebook.com,None Found,+52 33 3245 5075,"C. Hidalgo 66, Tonalá Centro, 45400 Tonalá, Jal., México",Restaurante, 10p.m. ,Tonalá
Agora Restaurante,agorarestaurante.com,None Found,+52 33 3310 4404,"33 Morelos, Tonalá Centro, 45400 Tonalá, Jal., México",Restaurante mexicano,,Tonalá
La Tisana Cafe,facebook.com,None Found,+52 33 3792 5990,"Álvaro Obregón 20, Tonalá Centro, 45400 Tonalá, Jal., México",Restaurante, Cierra a las 11p.m.,Tonalá
El Alazan y el Rosillo,,Enorme restaurant bar de estilo campestre que ofrece comida mexicana con música en vivo de mariachi y banda.,+52 33 3690 1686,"Carretera Libre, Carr. a Los Altos #317, Santa Paula, 45400 Tonalá, Jal., México",Restaurante mexicano, Abre a las 12:30p.m. del dom,Tonalá
Mariscos El Arandense,facebook.com,"Espacio amplio con techo alto, cocina abierta y música de norteños que sirve comida de mar estilo México.",+52 33 3683 5349,"Av. Tonaltecas 69, Tonalá Centro, 45400 Tonalá, Jal., México",Marisquería, Abre a las 10:30a.m. del dom,Tonalá
Mariscos El Grajo,,None Found,+52 33 3683 0378,"45400, Morelos 66, Tonalá Centro, Tonalá, Jal., México",Marisquería, Abre a las 9a.m. del lun,Tonalá
Carnes en Su Jugo Navarrete Suc. Rio Nilo,carnesnavarrete.com,"Restaurante familiar, casual y popular que sirve cocina mexicana incluyendo su especialidad carne en su jugo.",+52 33 2441 4916,"Av Río Nilo 3013, Lomas de La Soledad, 45400 Tonalá, Jal., México",Restaurante mexicano, Cierra a las 12a.m.,Tonalá
Mokato,facebook.com,None Found,+52 33 2015 7539,"C. Hidalgo 47, Tonalá Centro, 45400 Tonalá, Jal., México",Restaurante, Cierra a las 11p.m.,Tonalá
Mariscos El Guamuchil,,None Found,+52 33 3683 3473,"Av. Tonaltecas 292, Centro, 45400 Tonalá, Jal., México",Marisquería, Abre a las 11a.m. del dom,Tonalá
Carnes en su Jugo Navarrete Suc Tonaltecas,carnesnavarrete.com,None Found,+52 33 3683 4483,"Av. Tonaltecas 192, Tonalá Centro, 45400 Guadalajara, Jal., México",Restaurante de platos de carne, Cierra a las 11p.m.,Tonalá
Restaurant El Jardín,facebook.com,None Found,+52 33 1200 2782,"Av. Tonaltecas 79, Tonalá Centro, 45400 Tonalá, Jal., México",Restaurante mexicano, Abre a las 9a.m. del dom,Tonalá
1000 Caguamas Tonalá,1000caguamas.com,None Found,+52 33 3683 5883,"Av. Benito Juárez 93 A, Tonalá Centro, 45400 Tonalá, Jal., México",Restaurante, Cierra a las 12a.m.,Tonalá
Juliana Restaurante,instagram.com,None Found,+52 33 4394 1192,"Av. Tonaltecas Sur 9A, La Alberca, 45400 Tonalá, Jal., México",Restaurante, Cierra a las 11p.m.,Tonalá
