Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurante Steak Palenque,steakpalenque.com.mx,"Amplio establecimiento informal con platos abundantes de carne, cerveza y un área de juegos para niños.",+52 871 718 5504,"Blvrd Independencia 2557, San Isidro, 27100 Torreón, Coah., México",Restaurante mexicano, Cierra a las 12a.m.,Torreón
Mr Pampas Torreón,mrpampas.com,None Found,+52 871 747 9178,"Blvrd Independencia 2727, Nuevo San Isidro, 27100 Torreón, Coah., México",Restaurante brasileño, Cierra a las 12a.m.,Torreón
NICANOR Cocina de Asador,nicanor.mx,None Found,+52 871 204 7056,"Blvrd Independencia 2295-Local 17, San Isidro, 27100 Torreón, Coah., México",Restaurante mexicano, Cierra a las 2a.m.,Torreón
La Majada,facebook.com,Antiguo restaurante sencillo con especialidades tradicionales.,+52 871 713 4715,"Donato Guerra 1001, Primero de Cobián Centro, 27000 Torreón, Coah., México",Restaurante, Cierra a las 11p.m.,Torreón
Restaurante El Pueblito OK Maguey,m.facebook.com,None Found,+52 871 716 9228,"Blvrd Constitución 421, Los Ángeles, 27140 Torreón, Coah., México",Restaurante mexicano, Cierra a las 11p.m.,Torreón
Oriental Grill Torreón,orientalgrilltrc.com,"Menú amplio de diversas cocinas de Asia en un restaurante urbano con aire moderno, dos pisos y terraza grande.",+52 871 169 1550,"Feliciano Cobian 264, Nueva los Ángeles, 27140 Torreón, Coah., México",Restaurante chino,,Torreón
Mochomos Torreón,mochomos.mx,None Found,+52 871 222 0643,"Blvrd Independencia Oriente 2210, Navarro, 27010 Torreón, Coah., México",Restaurante mexicano, Cierra a las 2a.m.,Torreón
El Bife RB,,"Espacioso comedor rústico con ambiente casual en donde se sirven ensaladas, pastas y cortes argentinos.",+52 871 717 9096,"Blvrd Independencia 2390, Estrella, 27010 Torreón, Coah., México",Restaurante argentino, Cierra a las 11p.m.,Torreón
El Agave,elagave.com.mx,None Found,+52 871 747 2220,"Blvd. Independencia 1300 Ote Tercer Piso, Navarro, 27010 Torreón, Coah., México",Bar restaurante, Cierra a las 11a.m. del dom,Torreón
Rincón Silverio,rinconsilverio.com,None Found,+52 871 182 0749,"Plaza Paseo Independecia Blvd. Las Quintas #50 Colonia, Quintas San Isidro, Torreón, México",Restaurante, Cierra a las 2a.m.,Torreón
El Chamuco,,None Found,+52 871 718 8485,"Blvrd Constitución & Doctor A. Mondragón 15, Blvrd Constitución 712 bis, Nueva los Ángeles, 27140 Torreón, Coah., México",, Cierra a las 11p.m.,Torreón
La Única Torreón,launica.mx,None Found,+52 871 737 7697,"Feliciano Cobian 570, Nueva los Ángeles, 27140 Torreón, Coah., México",Restaurante, Cierra a las 2a.m.,Torreón
Mezzo,,None Found,+52 871 711 1192,"C. Degollado 96, Segundo de Cobián Centro, 27000 Torreón, Coah., México",Restaurante, Cierra a las 12a.m.,Torreón
Garufa,,Refinado restaurant con paredes color mango y muebles de madera oscura que ofrece asados argentinos y vino.,+52 871 716 4072,"Avenida Abasolo, Oriente 80, Primero de Cobián Centro, 27000 Torreón, Coah., México",Restaurante argentino, Cierra a las 11p.m.,Torreón
El Sureño,,None Found,+52 871 741 1875,"C. González Ortega Sur 272, Segundo de Cobián Centro, 27000 Torreón, Coah., México",Restaurante mexicano, Cierra a las 10p.m.,Torreón
Greta,instagram.com,None Found,+52 871 222 2495,"Av. Matamoros 78, Segundo de Cobián Centro, 27000 Torreón, Coah., México",Restaurante, Cierra a las 11p.m.,Torreón
Staglio Torreón,facebook.com,None Found,+52 871 464 0097,"Centro comercial Almanara, Residencial el Fresno, 27018 Torreón, Coah., México",Restaurante italiano, Cierra a las 12a.m.,Torreón
La Espada Gaucha,espadagaucha.com,Amplio comedor con decoración industrial que ofrece buffet con barra de ensaladas y diferentes carnes.,+52 871 182 1424,"Blvrd Independencia 3760, Residencial el Fresno, 27018 Torreón, Coah., México",Restaurante, 9p.m. ,Torreón
Casa del Panini,lacasadelpanini.com,"Local urbano con ventanas grandes que ofrece cocteles creativos y pizzas, ensaladas y su especialidad panini.",+52 871 713 7176,"Las Quintas 80, Quintas San Isidro, 27018 Torreón, Coah., México",Restaurante, Cierra a la 1a.m.,Torreón
