Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurante Colonial,h-colonial.com.mx,Comida mexicana e internacional con sabor hogareño en amplio y colorido comedor con ventanales y patio.,+52 775 753 1855,"De Juárez Sur 201, Centro 1er Cuadro, 43600 Tulancingo, Hgo., México",Restaurante mexicano, Abre a las 8a.m.,Tulancingo de Bravo
Barbacoa Don Agus,,None Found,+52 775 784 7796,"43650, Cda. de Echavarri 204, Centro Periferia, Tulancingo, Hgo., México",Restaurante especializado en barbacoa, Cierra a las 4p.m.,Tulancingo de Bravo
"Barbacoa ""El Carnerito""",,None Found,,"43640, Gral Felipe Angeles 101, Felipe Ángeles, Tulancingo, Hgo., México",Restaurante especializado en barbacoa, Cierra a las 3p.m.,Tulancingo de Bravo
ABE RESTAURANTE,,None Found,+52 775 112 2334,"Esquina con, Hidalgo Poniente, Av. Juárez Nte. 101, Centro, 43600 Tulancingo, Hgo., México",Restaurante mexicano, Cierra a las 9p.m.,Tulancingo de Bravo
Acuario Restaurante,,None Found,+52 775 753 0209,"Molino del Rey 215, San Luis, 43670 Tulancingo, Hgo., México",Marisquería, Abre a las 12p.m.,Tulancingo de Bravo
Restaurante Meridian,h-colonial.com.mx,Cocina mexicana e internacional en un espacio refinado con mesas de mantel blanco y decoración vanguardista.,+52 775 755 4555,"Calle Luis M. Ponce Sur 402, Fraccionamiento del Villar, 43600 Tulancingo, Hgo., México",Restaurante mexicano, Abre a las 9a.m.,Tulancingo de Bravo
Tule Restaurante,,None Found,+52 775 119 2667,"Calle Luis M. Ponce 101, Centro 1er Cuadro, 43600 Tulancingo, Hgo., México",Restaurante mexicano, Abre a las 8:30a.m.,Tulancingo de Bravo
super guajolote,,None Found,,"C. Tomas Alba Edison 3-A, Estrella, 43646 Tulancingo, Hgo., México",Restaurante, Cierra a las 12p.m. ,Tulancingo de Bravo
Chetoro,,None Found,+52 775 178 2097,"Claude Debussy 121, Jardines del Sur 6ta Secc, 43660 Tulancingo, Hgo., México",Restaurante, Cierra a las 7p.m.,Tulancingo de Bravo
Restaurante Colonial (Luis ponce),h-colonial.com.mx,None Found,+52 775 112 0158,"Calle Luis M. Ponce 115-Sur, Centro, 43600 Tulancingo, Hgo., México",Restaurante, Abre a las 8a.m.,Tulancingo de Bravo
D Victorias Restaurante,linktr.ee,None Found,+52 775 122 4276,"Calle Juan C Doria Pte 203, Centro, 43600 Tulancingo, Hgo., México",Restaurante, Abre a las 8a.m.,Tulancingo de Bravo
