Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurante Las Pichanchas,restaurantelaspichanchas.com,"Local grande y colorido con música y bailes folclóricos, y platos tradicionales de la región de Chiapas.",+52 961 174 9485,"Av. Central Ote. 837, Asamblea de barrio, Centro, 29000 Tuxtla Gutiérrez, Chis., México",Restaurante mexicano,,Tuxtla Gutiérrez
Otilia,facebook.com,None Found,+52 961 121 4198,"Avenida 1ª Norte Poniente, 15A. Pte. Nte. 378 esquina, Moctezuma, 29030 Tuxtla Gutiérrez, Chis., México",Bar restaurante, Cierra a la 1a.m.,Tuxtla Gutiérrez
Asador Castellano,asadorcastellano.com.mx,Luminoso comedor estilo rústico en donde se sirven cortes americanos y platillos españoles y mexicanos.,+52 961 602 9000,"Blvd. Belisario Domínguez 2320-A, Las Granjas, 29060 Tuxtla Gutiérrez, Chis., México",Parrilla, Cierra a las 11p.m.,Tuxtla Gutiérrez
San Juan Leñero Asador Tuxtla,instagram.com,None Found,+52 961 456 8468,"Esquina con, Paseo de las Fuentes, Lib. Sur Pte. S/N, Santa Elena, 29060 Tuxtla Gutiérrez, Chis., México",Restaurante mediterráneo, Cierra a la 1a.m.,Tuxtla Gutiérrez
La Mansion,lamansion.com.mx,None Found,+52 961 617 7733,"Perif. Sur Pte. 105, Sin Nombre, Santa Elena, 29060 Tuxtla Gutiérrez, Chis., México",Restaurante, Cierra a las 11p.m.,Tuxtla Gutiérrez
Costa Brava cocina de mar,facebook.com,Restaurante amplio y tranquilo con especialidades de mariscos y cocteles.,+52 961 291 4847,"4a oriente norte, Norte esquina-con 17, La Pimienta, 29034 Tuxtla Gutiérrez, Chis., México",Marisquería, Abre a las 12p.m. del dom,Tuxtla Gutiérrez
La Mocte,facebook.com,"Cantina alegre con un patio lleno de plantas, en la que se sirven platos clásicos de carne y mariscos.",+52 961 471 1448,"Cvln. Tapachula 263, Moctezuma, 29030 Tuxtla Gutiérrez, Chis., México",Bar restaurante, Cierra a la 1:30a.m.,Tuxtla Gutiérrez
Café Bar 500 Noches Tuxtla,menu.grupo500noches.com.mx,None Found,+52 961 854 7355,"Plaza DORADA, Blvd. Belisario Domínguez 1057, Santa Elena, 29060 Tuxtla Gutiérrez, Chis., México",Restaurante, Cierra a las 2a.m.,Tuxtla Gutiérrez
Chiquitita,link.clip.mx,None Found,+52 961 656 6236,"Arriaga 300, Los Manguitos, 29010 Tuxtla Gutiérrez, Chis., México",Restaurante, Cierra a las 11:30p.m.,Tuxtla Gutiérrez
Via Gourmet,instagram.com,None Found,+52 961 602 7987,"16A. Poniente Norte 304, Av. Cedros 402-local 9, Arboledas, 29030 Tuxtla Gutiérrez, Chis., México",Restaurante, Cierra a las 11p.m.,Tuxtla Gutiérrez
El Mesón del Quijote,,None Found,+52 961 612 1600,"Av. Central Ote. 333, Zona Sin Asignación de Nombre de Col 42, 29000 Tuxtla Gutiérrez, Chis., México",Restaurante mexicano, Cierra a las 4a.m.,Tuxtla Gutiérrez
CAUDILLOS TUXTLA RESTAURANTE,facebook.com,None Found,+52 961 615 1095,"Blv, Blvd. Belisario Domínguez 2210 Col-Local 1, Jardines de Tuxtla, 29020 Tuxtla Gutiérrez, Chis., México",Restaurante mexicano,,Tuxtla Gutiérrez
Restaurante las Pichanchas Mirador,restaurantelaspichanchas.com,Comedor abierto con terraza que ofrece espectáculo de baile regional y platillos de la gastronomía chiapaneca.,+52 961 144 7026,"Carr. Tuxtla Villaflores Km. 2, Ejido de, 29089 Copoya, Chis., México",Restaurante mexicano, Cierra a las 11p.m.,Tuxtla Gutiérrez
Humo y Leña Tuxtla,facebook.com,None Found,+52 961 346 7172,"Blvd. Belisario Domínguez 2450, Rosario Sabinal, 29020 Tuxtla Gutiérrez, Chis., México",Restaurante, Cierra a las 11p.m.,Tuxtla Gutiérrez
La Macarena Cocina Española,,None Found,+52 961 118 1338,"2 avenida, Norte Poniente 369, Col. Centro, 29000 Tuxtla Gutiérrez, Chis., México",Restaurante, Cierra a las 11:30p.m.,Tuxtla Gutiérrez
El Rincón de Josefina,facebook.com,None Found,+52 961 346 7192,"Blvd. Belisario Domínguez 1197, Interior del hotel la hacienda, Centro, 29000 Tuxtla Gutiérrez, Chis., México",Restaurante mexicano, Abre a las 8a.m. del dom,Tuxtla Gutiérrez
