Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
El Rincón de Aguililla,elrincondeaguililla.com,Institución popular de larga data donde se prepara comida local en un entorno espacioso.,+52 452 523 0824,"C. Chiapas 367, Ramón Farias, 60130 Uruapan, Mich., México",Restaurante mexicano, Abre a las 8a.m.,Uruapan del Progreso
El Portico,,None Found,+52 452 528 6575,"C. Tercera Priv. Cupatitzio 16(10, Amp Progreso, 60090 Uruapan, Mich., México",Restaurante, Abre a las 9a.m.,Uruapan del Progreso
Cocina M,cocinam.com,None Found,+52 452 519 1401,"P.º Lázaro Cárdenas 1534, Huertas del Cupatitzio, 60080 Uruapan, Mich., México",Restaurante mexicano, Abre a la 1:30p.m.,Uruapan del Progreso
Pancho Pistolas,panchopistolasrestaurante.com,None Found,+52 452 523 9764,"P.º Lázaro Cárdenas 269, Jardines del Cupatitzio, 60080 Uruapan, Mich., México",Restaurante mexicano, Abre a las 9a.m.,Uruapan del Progreso
El Encanto Restaurante,ola.click,None Found,+52 452 524 5472,"Av Benito Juárez 139, Morelos, 60050 Uruapan, Mich., México",Restaurante mexicano, Abre a las 8a.m.,Uruapan del Progreso
Bodegón Porteño Restaurante Argentino Uruapan,facebook.com,None Found,+52 452 336 7281,"P.º Lázaro Cárdenas 724, La Magdalena, 60080 Uruapan, Mich., México",Restaurante argentino, Abre a las 2p.m.,Uruapan del Progreso
Restaurante La Mansión del Cupatitzio,,None Found,+52 452 521 4977,"Calz. de la rodilla del diablo 20, Colonia, 60030 Uruapan, Mich., México",Restaurante mexicano, Abre a las 7a.m.,Uruapan del Progreso
De Mi Tierra Restaurante y Cafetería,,None Found,+52 452 526 1632,"Emilio Carranza 125 esquina con, C. Culver City, Barrio santo Santiago, 60030 Uruapan, Mich., México",Restaurante, Abre a las 8:30a.m.,Uruapan del Progreso
Jardin Steak House,jardinsteakhouse.com,None Found,+52 452 130 3776,"P.º Lázaro Cárdenas 1973, Los Ángeles, 60160 Uruapan, Mich., México",Restaurante especializado en filetes, Abre a la 1:30p.m.,Uruapan del Progreso
Kumanchikua Uruapan,,None Found,+52 452 524 8496,"C. Chiapas 4, Colonia, 60130 Uruapan, Mich., México",Restaurante mexicano, Cierra a las 3a.m. ,Uruapan del Progreso
La Fonda de Toña,paradorcherangueran.com,None Found,+52 452 547 0063,"60223 Uruapan, Mich., México",Restaurante,,Uruapan del Progreso
California Grill Fish n' Wings,,None Found,+52 452 688 5142,"Av. Latinoamericana, Huertas del Cupatitzio, 60080 Uruapan, Mich., México",Restaurante mexicano, Cierra a las 2a.m. ,Uruapan del Progreso
Gratissima,gratissima.mx,None Found,+52 452 182 2398,"Rodilla del Diablo 13, La Quinta, 60030 Uruapan, Mich., México",Restaurante, Abre a las 9:30a.m.,Uruapan del Progreso
Café Tradicional de Uruapan,,"Espacio acogedor decorado con madera y azulejo que ofrece café artesanal, chocolate y comida mexicana.",+52 452 523 5680,"Av Emilio Carranza 5-B, Centro, 60000 Uruapan, Mich., México",Cafetería, Abre a las 8a.m.,Uruapan del Progreso
Doña Churros,facebook.com,None Found,+52 452 139 9934,"Cuernavaca 1, México, 60153 Uruapan, Mich., México",Restaurante, Abre a las 12:30p.m.,Uruapan del Progreso
Restaurante Chamorros Bribiesca,,None Found,+52 452 523 2642,"Gildardo Magaña 104, Revolución, 60180 Uruapan, Mich., México",Restaurante mexicano, Abre a las 11a.m.,Uruapan del Progreso
Restaurante Mariscos El Chato,,None Found,+52 452 524 5851,"Av de las Americas #60, Morelos, 60050 Uruapan, Mich., México",Marisquería, Abre a las 10a.m.,Uruapan del Progreso
Restaurante Toks Uruapan,toks.com.mx,None Found,+52 452 528 7272,"Blvd. Industrial 1241-A1, Gral Guerrero, Vicente Guerrero, 60120 Uruapan, Mich., México",Restaurante mexicano, Abre a las 7a.m.,Uruapan del Progreso
Restaurante Los Girasoles,,None Found,+52 452 524 4191,"P.º Lázaro Cárdenas 1806, Jardines del Cupatitzio, 60080 Uruapan, Mich., México",Restaurante familiar, Abre a la 1p.m.,Uruapan del Progreso
Cocina Económica Mary,,None Found,+52 452 519 4869,"Independencia 63, Barrio de Santiago, 60000 Uruapan, Mich., México",Restaurante, Abre a las 9a.m. del lun,Uruapan del Progreso
Restaurante La Hacienda,,None Found,+52 452 177 4474,"Blvd. Industrial No. 1705, Colonia, 60120 Uruapan, Mich., México",Restaurante, Abre a las 7a.m.,Uruapan del Progreso
Jardín Fuego Brasileño,facebook.com,None Found,+52 452 199 4957,"Calle E. Zapata 16, Amp Revolución, 60153 Uruapan, Mich., México",Restaurante, Abre a la 1:30p.m.,Uruapan del Progreso
Restaurant Las Camelinas,hotelplazauruapan.com.mx,None Found,+52 452 177 4474,"Ocampo 64, Centro, 60000 Uruapan, Mich., México",Restaurante, Abre a la 1p.m.,Uruapan del Progreso
Señor Mazatlán Restaurante,,None Found,+52 452 197 1490,"Av. Latinoamericana 2213, Amp Revolución, 60160 Uruapan, Mich., México",Marisquería, Abre a las 11a.m.,Uruapan del Progreso
El Paceño,,None Found,+52 452 519 1617,"Uruapan 15A, Amp Revolución, 60153 Uruapan, Mich., México",Marisquería, Abre a las 12p.m.,Uruapan del Progreso
PUNTO 33,,None Found,+52 452 519 3015,"TEL. 5193015, C. Galeana 79b, La Magdalena, 60080 Uruapan, Mich., México",Restaurante, Abre a las 2p.m.,Uruapan del Progreso
El Buen Sazón de los Ángeles,,None Found,+52 452 524 5453,"C. Colombia 33, Ameritas, 60160 Uruapan, Mich., México",Restaurante, Abre a las 8a.m.,Uruapan del Progreso
El Rabano,,None Found,+52 452 527 1582,"Paraguay 33, Los Ángeles, 60160 Uruapan, Mich., México",Restaurante,,Uruapan del Progreso
ONCE Horno & Bar,,None Found,+52 452 688 2108,"Av. Latinoamericana 11-A, Huertas del Cupatitzio, 60080 Uruapan, Mich., México",Restaurante, 12:30a.m. ,Uruapan del Progreso
Mariscos El Chory,,None Found,+52 452 524 6810,"P.º Lázaro Cárdenas 3, Morelos, 60050 Uruapan, Mich., México",Marisquería, Abre a las 12p.m.,Uruapan del Progreso
Asador Del Pibe,,None Found,+52 452 305 1091,"Calle Prol. Mazatlan 2-107, Huertas del Cupatitzio, 60080 Uruapan, Mich., México",Restaurante argentino, Abre a la 1p.m.,Uruapan del Progreso
Billy Gin,facebook.com,None Found,+52 452 690 5345,"Av. Latinoamericana 220, Huertas del Cupatitzio, 60080 Uruapan, Mich., México",Bar restaurante, Abre a las 9:30a.m.,Uruapan del Progreso
Bistro 21,,None Found,+52 452 527 2720,"Av. Latinoamericana 1344, Los Ángeles, 60160 Uruapan, Mich., México",Restaurante, Abre a las 2p.m.,Uruapan del Progreso
Cincuenta Porciento Natural,,None Found,+52 452 519 3347,"Av de las Americas 63, Morelos, 60050 Uruapan, Mich., México",Restaurante de desayunos, Abre a las 8a.m.,Uruapan del Progreso
Distrito Latino,facebook.com,None Found,,"Av. Latinoamericana 2192, San José Obrero, 60160 Uruapan, Mich., México",Restaurante, Abre a la 1:30p.m.,Uruapan del Progreso
Mi Lola Uruapan,,None Found,+52 452 122 9306,"Av. Latinoamericana 220, Huertas del Cupatitzio, 60080 Uruapan, Mich., México",Restaurante, Abre a las 2p.m.,Uruapan del Progreso
El Pulpo,facebook.com,None Found,+52 452 132 9447,"Av de las Americas 98, Morelos, 60050 Uruapan, Mich., México",Marisquería, Abre a las 10a.m.,Uruapan del Progreso
Asada de Piñon Uruapan,losdeasada.com,None Found,+52 452 527 3293,"Av de las Americas 77, Morelos, 60050 Uruapan, Mich., México",Parrilla, Abre a las 9a.m.,Uruapan del Progreso
