Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
La Casona del Beaterio,,Pequeño y acogedor lugar con decorado colonial mexicano y patio interior que sirve cocina internacional.,+52 228 818 2119,"Ignacio Zaragoza 20, Zona Centro, Centro, 91000 Xalapa-Enríquez, Ver., México",Restaurante mexicano, Cierra a las 11:30p.m.,Xalapa-Enríquez
Asadero Cien Teatro,asaderocien.com,Cadena informal de restaurantes de comida a la parrilla con especialidades tradicionales y barbacoa.,+52 228 167 0797,"Av. Manuel Ávila Camacho 118, Centro, 91000 Xalapa-Enríquez, Ver., México",Restaurante mexicano, Cierra a las 11p.m.,Xalapa-Enríquez
Madison Grill Xalapa,madisongrill.mx,None Found,+52 228 813 7207,"Blvd. Europa 100, Balcones de Xalapa, 91193 Xalapa-Enríquez, Ver., México",Restaurante, Cierra a las 11p.m.,Xalapa-Enríquez
Postodoro,postodoro.com,"Sencillo comedor familiar con servicio de catering en donde se ofrece menú de ensaladas, pastas y pizzas.",+52 228 118 0008,"C. Primo Verdad 11, Zona Centro, Centro, 91000 Xalapa-Enríquez, Ver., México",Restaurante italiano, Cierra a las 11p.m.,Xalapa-Enríquez
Vadiro's Pastas & Grill,vadiros.mx,"Comedor clásico con toques hogareños, terraza y cava de vinos que presenta menú de mariscos, cortes y pastas.",+52 228 812 2976,"Calle Miguel Hidalgo 94, Zona Centro, Centro, 91000 Xalapa-Enríquez, Ver., México",Restaurante,,Xalapa-Enríquez
El Itacate Fonda,m.facebook.com,None Found,+52 228 165 0663,"Juan Soto N 4, Zona Centro, Centro, 91000 Xalapa-Enríquez, Ver., México",Restaurante mexicano, Abre a las 7:45a.m. del dom,Xalapa-Enríquez
La Central,facebook.com,None Found,+52 228 812 4006,"Jesús García 1, Zona Centro, Centro, 91000 Xalapa-Enríquez, Ver., México",Restaurante italiano, 10p.m. ,Xalapa-Enríquez
El Salto de Xala,,None Found,+52 228 236 0508,"Av Rafael Murillo Vidal 41, Ensueño, 91060 Xalapa-Enríquez, Ver., México",Restaurante mexicano, 10p.m. ,Xalapa-Enríquez
Estrela do Brasil,beacons.ai,None Found,+52 228 141 6149,"Encino 102, El Olmo, 91194 Xalapa-Enríquez, Ver., México",Restaurante brasileño,,Xalapa-Enríquez
Casa Vieja,,None Found,+52 228 812 0876,"González Ortega 10, Zona Centro, Centro, 91000 Xalapa-Enríquez, Ver., México",Pizzería, Cierra a las 12a.m.,Xalapa-Enríquez
Asadero Cien - Maestros Veracruzanos,asaderocien.com,"Lugar sofisticado de techo alto con filetes asados, costillas, hamburguesas, pizza y tacos.",+52 228 818 1181,"Maestros Veracruzanos 89, Modelo, 91040 Xalapa-Enríquez, Ver., México",Parrilla, Cierra a las 11p.m.,Xalapa-Enríquez
Cariño Mío Restaurante,facebook.com,None Found,+52 228 688 6243,"Gutiérrez Zamora 112-A, Zona Centro, Centro, 91000 Xalapa-Enríquez, Ver., México",Pizzería, 10:30p.m. ,Xalapa-Enríquez
La Moderna Xalapa,instagram.com,None Found,+52 228 857 2128,"Calle Miguel Hidalgo 67, colonia centro, Centro, 91000 Xalapa-Enríquez, Ver., México",Restaurante, Cierra a las 12a.m.,Xalapa-Enríquez
Asadero Cien Tejar,asaderocien.com,None Found,+52 228 841 0125,"Caxa #9, Alvaro Obregon, 91060 Xalapa-Enríquez, Ver., México",Parrilla, Cierra a las 11p.m.,Xalapa-Enríquez
Quinta Pico de Gallo,restaurantepicodegallo.com,None Found,,"Santos Degollado 81, Zona Centro, Centro, 91000 Xalapa-Enríquez, Ver., México",Restaurante mexicano, Cierra a las 12a.m.,Xalapa-Enríquez
Comida de Reyes,instagram.com,None Found,+52 228 112 3456,"Av. 20 de Noviembre 510-interior 7, Tatahuicapan, 91060 Xalapa-Enríquez, Ver., México",Restaurante mexicano, Cierra a las 11p.m.,Xalapa-Enríquez
La Estancia de los Tecajetes,tecajetes.com,"Lugar con vista al parque donde se sirven tacos, tortas, barbacoa, mariscos, jugos de frutas y cervezas.",+52 228 818 0732,"Manuel Ávila Camacho Tecajetes #90-12, Centro, 91000 Xalapa-Enríquez, Ver., México",Restaurante mexicano, Abre a las 7a.m. del dom,Xalapa-Enríquez
La Churreria de Xalapa,churreriadexalapa.com,None Found,+52 228 841 4961,"Guadalupe Victoria 158, Zona Centro, Centro, 91000 Xalapa-Enríquez, Ver., México",Restaurante mexicano, Cierra a las 12a.m.,Xalapa-Enríquez
El Asador,alacarta.mx,None Found,+52 228 812 2029,"Av. Manuel Ávila Camacho 60, Zona Centro, Centro, 91000 Xalapa-Enríquez, Ver., México",Restaurante mexicano, Cierra a las 2a.m.,Xalapa-Enríquez
La Cocina del Jey,facebook.com,None Found,+52 228 818 2521,"Corregidora, Ensueño, Centro, 91000 Xalapa-Enríquez, Ver., México",Pizzería, Cierra a las 12a.m.,Xalapa-Enríquez
MACARIO COCINA,macariococina.mx,None Found,+52 228 822 5521,"Insurgentes 3, Zona Centro, Centro, 91000 Xalapa-Enríquez, Ver., México",Restaurante mexicano, Cierra a las 11p.m.,Xalapa-Enríquez
Fogon do Brasil,,None Found,+52 228 420 4932,"2a Priv. Agua Santa 4, Col. Badillo, 91190 Xalapa-Enríquez, Ver., México",Parrilla, 10p.m. ,Xalapa-Enríquez
Vena Cava,facebook.com,None Found,+52 228 201 2744,"Av. Araucarias 139, Indeco Animas, 91190 Xalapa-Enríquez, Ver., México",Restaurante italiano, Cierra a las 11p.m.,Xalapa-Enríquez
Flor Catorce Centro,facebook.com,None Found,+52 228 812 0827,"José María Morelos 1, Zona Centro, Centro, 91000 Xalapa-Enríquez, Ver., México",Cafetería, Cierra a las 11p.m.,Xalapa-Enríquez
"New York, New York - Centro [ Xalapa ]",facebook.com,None Found,+52 228 839 1592,"Manlio Fabio Altamirano 37, Zona Centro, Centro, 91000 Xalapa-Enríquez, Ver., México",Hamburguesería, Cierra a las 11:30p.m.,Xalapa-Enríquez
El Llagar Xalapa,elllagar.com,None Found,+52 228 812 9395,"Local 8 Plaza del Sol, Av. Araucarias 56, Sipeh Animas, 91067 Xalapa-Enríquez, Ver., México",Restaurante de cocina española, Cierra a las 12a.m.,Xalapa-Enríquez
Doña Lucha Centro,solucionesmosaico.com,None Found,+52 228 319 3213,"C. José Joaquín Herrera 17, Zona Centro, Centro, 91000 Xalapa-Enríquez, Ver., México",Bar, Cierra a las 12a.m.,Xalapa-Enríquez
La Estancia Argentina Xalapa,grupoestancia.mx,None Found,+52 228 203 3231,"Prolongación Boulevard Europa. 100, Blvd. Europa 809, 91193 Xalapa-Enríquez, Ver., México",Restaurante argentino, Cierra a las 12a.m.,Xalapa-Enríquez
CHURRASCO Parrilla Argentina,churrasco.com.mx,None Found,+52 228 166 0999,"Maestros Veracruzanos 111, INFONAVIT Pomona, 91040 Xalapa-Enríquez, Ver., México",Restaurante argentino, Cierra a las 12a.m.,Xalapa-Enríquez
Vinissimo,,None Found,+52 228 812 9113,"Av. Araucarias 501-Local 1-A, Indeco Animas, 91067 Xalapa-Enríquez, Ver., México",Bar restaurante, Cierra a las 12a.m.,Xalapa-Enríquez
Asadero Cien Monte Magno,asaderocien.com,None Found,+52 228 688 5189,"Blvd. Europa 28, 91193 Xalapa-Enríquez, Ver., México",Parrilla, Cierra a las 11p.m.,Xalapa-Enríquez
Asadero Cien - Zaragoza,asaderocien.com,None Found,+52 228 817 7277,"Ignacio Zaragoza 8 Int. 1 A y 1 B, Nicolás Bravo 6, Centro, 91000 Xalapa-Enríquez, Ver., México",Restaurante mexicano, Cierra a las 11p.m.,Xalapa-Enríquez
Las Brasas Xalapa,,None Found,+52 229 457 2793,"Blvd. Europa 47, Residencial Monte Magno, 91193 Xalapa-Enríquez, Ver., México",Restaurante mexicano, Cierra a las 11p.m.,Xalapa-Enríquez
Jefe de Manzana,,None Found,+52 228 210 4516,"C. Antonio Pérez Rivera 92, El Mirador, 91170 Xalapa-Enríquez, Ver., México",Restaurante, Cierra a las 11:30p.m.,Xalapa-Enríquez
Restaurante Los Nopales,losnopalesrestaurant.com.mx,None Found,+52 228 233 1363,"Dr. Rafael Lucio 88, Zona Centro, Centro, 91000 Xalapa-Enríquez, Ver., México",Restaurante mexicano, Abre a las 9a.m. del dom,Xalapa-Enríquez
EL COMAL,,None Found,+52 228 814 5277,"Antonio Chedraui Caram 56B, Francisco Villa, 91150 Xalapa-Enríquez, Ver., México",Restaurante, 10p.m. ,Xalapa-Enríquez
