Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurant El Mesón Xiqueño,,None Found,,"Av. Miguel Hidalgo 148, Centro, 91240 Xico, Ver., México",Restaurante mexicano, Abre a las 9a.m. del dom,Xico
El Campanario de Xico,,None Found,+52 228 813 0675,"Ignacio Zaragoza 96, 91240 Xico, Ver., México",Restaurante mexicano, Abre a las 8:30a.m. del dom,Xico
Restaurante La Molienda,,None Found,+52 228 813 1266,"Venustiano Carranza Nte. Sur S/N, Centro, 91240 Xico, Ver., México",Restaurante mexicano, Abre a las 9a.m. del dom,Xico
Los Portales,,None Found,+52 228 200 0341,"Av. Miguel Hidalgo 107, Centro, 91240 Xico, Ver., México",Restaurante mexicano,,Xico
La Casona de Don Gonzalo,,None Found,,"José María Morelos y Pavón 49, Centro, 91240 Xico, Ver., México",Restaurante mexicano, Abre a las 8a.m. del dom,Xico
Restaurante Acamalin,,None Found,+52 228 813 0285,"Venustiano Carranza Nte. 40, Xico, 91240 Xico, Ver., México",Restaurante mexicano, Abre a las 11a.m. del dom,Xico
El metlapilli,facebook.com,None Found,+52 228 180 3846,"Av. Miguel Hidalgo 74 bis, Xico, 91240 Xico, Ver., México",Restaurante familiar, Abre a las 9a.m. del dom,Xico
Asadero Doña Meche,,None Found,+52 228 235 8189,"Carretera Coatepec, Km 6, El Haya, 91240 Xico, Ver., México",Parrilla, Abre a las 8a.m. del dom,Xico
El Paraíso de la Trucha,facebook.com,None Found,+52 228 306 8563,"Xico Viejo, Ver., México",Restaurante, Abre a las 9a.m. del dom,Xico
La Casa del Herrero,,None Found,+52 228 129 8396,"Peatonal Josefa O De Domínguez 26, Centro, 91240 Xico, Ver., México",Restaurante familiar,,Xico
Panzanella Rest Italiano,,None Found,+52 228 129 8255,"Av. Miguel Hidalgo 184, Centro, 91240 Xico, Ver., México",Restaurante italiano, 11p.m. ,Xico
El Salto De La Trucha,,None Found,+52 228 498 2765,"Camino Coconal S/N, 91240 Xico, Ver., México",Restaurante, Abre a las 9a.m. del dom,Xico
La Concordia,facebook.com,None Found,+52 228 202 5652,"Av. Miguel Hidalgo 214, Centro, 91240 Xico, Ver., México",Restaurante, Abre a las 7a.m. del dom,Xico
"""LA CABAÑA DEL PATRON"" Carnes ahumadas",,None Found,+52 228 186 9208,"Av. Miguel Hidalgo, Xico, 91240 Xico, Ver., México",Restaurante de platos de carne, Abre a las 8a.m. del dom,Xico
La Cabaña del Patron -Asadero & Merendero,,None Found,+52 228 186 9208,"El Haya, 91240 Xico, Ver., México",Parrilla, Abre a las 8a.m. del dom,Xico
