Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Dorados De Villa,,None Found,+52 492 922 5722,"Pzla. de García 1314, Zacatecas Centro, 98000 Zacatecas, Zac., México",Restaurante, Abre a las 3p.m.,Zacatecas
Acropolis Café Y Restaurante,,None Found,+52 492 922 1284,"Avenida Hidalgo y Rinconada de Catedral, Candelario Huizar Esquina, Zacatecas Centro, 98000 Zacatecas, Zac., México",Restaurante, Abre a las 8a.m.,Zacatecas
Restaurante La Cofradía,facebook.com,None Found,+52 492 922 1241,"Miguel Auza 308, Zacatecas Centro, 98000 Zacatecas, Zac., México",Restaurante, Abre a las 8:30a.m.,Zacatecas
THE MILK Brewpub,facebook.com,None Found,+52 492 196 3367,"Miguel Auza 310, Zacatecas Centro, 98000 Zacatecas, Zac., México",Restaurante, Abre a las 12p.m.,Zacatecas
Rincón Típico,facebook.com,None Found,+52 492 100 4754,"Crucero del Moral 103 Esquina de Rayon y, De Quijano, Zacatecas Centro, 98000 Zacatecas, Zac., México",Restaurante mexicano, Abre a las 9a.m.,Zacatecas
La Cantera Musical,facebook.com,Comida zacatecana típica servida en una emblemática casona colonial con muros de piedra y comedor rústico.,+52 492 922 8828,"Tacuba 2, Zacatecas Centro, 98000 Zacatecas, Zac., México",Restaurante mexicano, Abre a las 9a.m.,Zacatecas
LA LEYENDA MUSEO RESTAURANTE,laleyendarestaurant.com,None Found,+52 492 922 3853,"C. Segunda de Matamoros 216, Zacatecas Centro, 98000 Zacatecas, Zac., México",Restaurante mexicano, Abre a las 9a.m.,Zacatecas
Las Costillas de Sancho Zacatecas,lascostillasdesancho.com.mx,"Luminoso bar y restaurante con terraza en donde se sirven ensaladas, pastas y cortes acompañados de vinos.",+52 492 899 1144,"José López Portillo 216, Tres Cruces, 98630 Guadalupe, Zac., México",Bar restaurante, Abre a las 12:30p.m.,Zacatecas
Villasunción,,None Found,+52 492 922 1411,"Allende 114, Zacatecas Centro, 98000 Zacatecas, Zac., México",Restaurante, Abre a las 8a.m.,Zacatecas
FINCA Serrano,facebook.com,None Found,+52 492 688 1508,"Torreón 519, Zacatecas Centro, 98000 Zacatecas, Zac., México",Restaurante, Abre a las 9:30a.m.,Zacatecas
