Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Fonda de Doña Gabina Escolástica,,None Found,+52 33 3833 0883,"Javier Mina 237, Centro, 45100 Zapopan, Jal., México",Restaurante mexicano, Cierra a las 11p.m.,Zapopan
Sonora Prime Puerta de Hierro,casaprime.mx,None Found,+52 55 9990 5869,"Real de Acueducto 210, Real Acueducto, 45116 Zapopan, Jal., México",Bar restaurante, Cierra a las 2a.m.,Zapopan
Verum Franco Mesón Italiano,facebook.com,None Found,+52 33 3633 7449,"28 de Enero 175, Zapopan Centro, 45100 Zapopan, Jal., México",Restaurante italiano, Cierra a las 11p.m.,Zapopan
Amorcito mio,facebook.com,None Found,+52 33 3633 7842,"C. 5 de Mayo 275, Zapopan, 45100 Zapopan, Jal., México",Pizzería, Cierra a las 11:30p.m.,Zapopan
La Moresca Andares,lamoresca.com,Cocina italiana y mediterránea en un sofisticado comedor con tonos de verde y paredes de ladrillo y vidrio.,+52 33 3611 2884,"Blvd. Puerta de Hierro 4965-011, Puerta de Hierro, 45116 Zapopan, Jal., México",Bar restaurante, Cierra a la 1a.m.,Zapopan
Cuerno Andares,cuerno.mx,None Found,+52 33 1538 3713,"Blvd. Puerta de Hierro 4965, Puerta de Hierro, 44100 Guadalajara, Jal., México",Restaurante, Cierra a la 1a.m.,Zapopan
CABOTINA,,None Found,+52 33 3123 3123,"Av Guadalupe 1000, Jardín de San Ignacio, 45040 Zapopan, Jal., México",Restaurante italiano, Cierra a las 12a.m.,Zapopan
Hostería Del Ángel,,None Found,+52 33 3656 9516,"C. 5 de Mayo 260, Zapopan, 45100 Zapopan, Jal., México",Restaurante, Cierra a las 10:30p.m.,Zapopan
Los Arcos,restaurantlosarcos.com,None Found,+52 33 3122 3719,"Calz. Lázaro Cárdenas 3549, Jardín de San Ignacio, 45040 Zapopan, Jal., México",Marisquería,,Zapopan
Los Arcos,restaurantlosarcos.com,None Found,+52 33 2881 1165,"Av. Acueducto 6050, Lomas del Bosque, 45118 Zapopan, Jal., México",Marisquería,,Zapopan
Restaurante Casa Caborca Asador de Carnes Zapopan,casacaborca.com.mx,"Restaurante sencillo en el que se ofrecen filetes a la parrilla y empanadas tradicionales, además de pizza.",+52 33 2641 7057,"Av Rafael Sanzio 165, La Estancia, 45030 Zapopan, Jal., México",Restaurante, Cierra a las 12a.m.,Zapopan
Fornino,m.facebook.com,Cocina italiana y pizzas asadas servidas en un lugar relajado que cuenta con terraza.,+52 33 3647 7777,"Av Guadalupe 1269, Chapalita Oriente, 45040 Zapopan, Jal., México",Restaurante italiano, Cierra a las 11:30p.m.,Zapopan
Restaurante ¿Qué Pachó? Naciones Unidas,linktr.ee,"Lugar animado con patio, donde se sirven tacos y carnes a la parrilla al estilo mexicano, y cocteles frutales.",+52 33 3673 5336,"Av Naciones Unidas 4762, Jardines Universidad, 45110 Zapopan, Jal., México",Restaurante mexicano, Cierra a las 11p.m.,Zapopan
Vincent,vincent.com.mx,"Establecimiento moderno que honra a Vincent van Gogh, en el que se sirven desayuno, mariscos y cocteles.",+52 33 3611 1208,"Blvd. Puerta de Hierro 4965-Local UP 2 and 3, Puerta de Hierro, 45116 Zapopan, Jal., México",Restaurante, Cierra a las 12a.m.,Zapopan
Zaphiro Cocina de Autor,zaphirococinadeautor.com,None Found,+52 33 9690 8695,"Expo Rock Center, Av. Ignacio L Vallarta 5145-Local G-2, Camino Real, 45040 Zapopan, Jal., México",Restaurante, Cierra a las 12a.m.,Zapopan
Maison Paulette,,"Cafetería refinada de pastelería francesa y comida ligera, con ambiente lujoso y un patio repleto de plantas.",+52 33 2886 3045,"Parque Juan Diego 4015, Cd de los Niños, 45040 Zapopan, Jal., México",Restaurante, Cierra a las 12a.m.,Zapopan
Isabela MX,,None Found,+52 33 1523 9271,"Real de Acueducto 270-P1, Puerta de Hierro, 45116 Zapopan, Jal., México",Restaurante italiano, Cierra a la 1a.m.,Zapopan
Mariscos El Memin - Periférico,,Restaurante espacioso y sencillo donde se sirven especialidades de mariscos y filetes.,+52 33 2844 6597,"Calle Lat. al Perif. 1571, La Alameda, 45079 Zapopan, Jal., México",Marisquería, Cierra a las 8p.m.,Zapopan
Loló Andares,linktr.ee,None Found,+52 33 2001 6364,"Blvd. Puerta de Hierro 4965, Puerta de Hierro, 45116 Zapopan, Jal., México",Restaurante, Cierra a las 12a.m.,Zapopan
El Tango,,"Comedor extenso de pizza, carne a la parrilla y postres complejos con presentaciones de tango.",+52 33 3647 9981,"Av Guadalupe 1004, Jardín de San Ignacio, 45040 Zapopan, Jal., México",Restaurante argentino,,Zapopan
La Vacanora,facebook.com,None Found,+52 33 3835 1055,"Calle Sta. Lucía 2, Zapopan, 45100 Zapopan, Jal., México",Restaurante, Cierra a las 10:30p.m.,Zapopan
Mantela Restaurante,mantela.com.mx,None Found,+52 33 3611 4632,"Blvd. Puerta de Hierro 4965, 45116 Zapopan, Jal., México",Restaurante, Cierra a la 1a.m.,Zapopan
Mantela Restaurante,mantela.com.mx,None Found,+52 33 3611 4632,"Blvd. Puerta de Hierro 4965, 45116 Zapopan, Jal., México",Restaurante, Cierra a la 1a.m.,Zapopan
Asador La Vaca Argentina Andares,lavaca-argentina.com,"Estilizado comedor decorado en madera y piel que ofrece pizzas y cortes, pescados y mariscos a la parrilla.",+52 33 3611 0888,"45116 Zapopan, Jal., México",Restaurante argentino, Cierra a las 12a.m.,Zapopan
Restaurante Save Av. Patria,restaurante-save.mx,None Found,+52 33 3629 3124,"Av. Patria 574, Jardines de Guadalupe, 44030 Zapopan, Jal., México",Marisquería, Cierra a las 10:30p.m.,Zapopan
Señora Tanaka Guadalajara,sratanaka.com,None Found,+52 33 3835 1405,"Real de Acueducto #110, Puerta de Hierro, 45116 Zapopan, Jal., México",Restaurante japonés, Cierra a las 2a.m.,Zapopan
Los Inmortales Restaurant Bar,restaurantlosinmortales.com,"Local tranquilo con fotos de antiguas estrellas del cine, donde se sirven carnes, bocadillos y platos internacionales.",+52 33 3629 6657,"Av. Patria 155, Jardines Vallarta, 45027 Zapopan, Jal., México",Restaurante argentino, Cierra a las 11p.m.,Zapopan
Taqueiros,taqueiros.com.mx,"Restaurante estilo mexicano con comedor rústico, tacos improvisados, arrachera y margaritas.",+52 33 3673 3120,"Av. Patria 270, La Estancia, 45030 Zapopan, Jal., México",Restaurante mexicano, Cierra a las 12a.m.,Zapopan
Fuego Asador La Estancia,bit.ly,None Found,+52 33 3857 8237,"Av. Ludwig Van Beethoven 5495, La Estancia, 45030 Zapopan, Jal., México",Parrilla, Cierra a las 11p.m.,Zapopan
Campomar Andares,campomar.mx,"Restaurante moderno y animado donde se sirven mariscos y carnes, además de tacos, pizzas y cocteles.",+52 33 3650 9154,"Blvrd Puerta de Hierro #4965. UP 13-10, Puerta de Hierro, 45116 Guadalajara, Jal., México",Restaurante, Cierra a las 11:30p.m.,Zapopan
Restaurante Familiar Merluza Zapopan,facebook.com,None Found,+52 33 1842 9255,"Av. Sebastian Bach 5591, La Estancia, 45030 Zapopan, Jal., México",Marisquería, Cierra a las 8p.m.,Zapopan
Al Dente,,"Platos italianos en un lugar íntimo con estilo neorrústico, paredes de piedra, arte moderno y servicio al bar.",+52 33 3165 0196,"Av Manuel J. Clouthier 284, Residencial Cordilleras, 45038 Zapopan, Jal., México",Restaurante italiano, Cierra a las 12a.m.,Zapopan
Al Dente,,"Platos italianos en un lugar íntimo con estilo neorrústico, paredes de piedra, arte moderno y servicio al bar.",+52 33 3165 0196,"Av Manuel J. Clouthier 284, Residencial Cordilleras, 45038 Zapopan, Jal., México",Restaurante italiano, Cierra a las 12a.m.,Zapopan
La Casa de Los Platos,casadelosplatos.com,Restaurante estilo chalé donde se sirven carnes asadas tradicionales de Guadalajara y platos de queso adobera.,+52 33 1814 5513,"São Paulo 2367, Providencia, 44630 Guadalajara, Jal., México",Restaurante mexicano, Cierra a las 12a.m.,Zapopan
La Casa de Los Platos,casadelosplatos.com,Restaurante estilo chalé donde se sirven carnes asadas tradicionales de Guadalajara y platos de queso adobera.,+52 33 1814 5513,"São Paulo 2367, Providencia, 44630 Guadalajara, Jal., México",Restaurante mexicano, Cierra a las 12a.m.,Zapopan
Los Chilaquiles,,Famoso restaurante especializado en chilaquiles servidos en un colorido comedor abierto con motivos mexicanos.,+52 33 3610 2623,"Av. Patria 1484, San Wenceslao, 45110 Zapopan, Jal., México",Restaurante mexicano, Abre a las 8a.m. del dom,Zapopan
Save,restaurante-save.mx,"Un restaurante informal con techo de palmas y terraza, con un extenso menú de mariscos en recetas originales.",+52 33 3813 1194,"Av. México 3388, Monraz, 44670 Guadalajara, Jal., México",Marisquería, Cierra a las 10:30p.m.,Zapopan
El Zarandeao,,"Restaurante luminoso donde se ofrecen ceviches y mariscos para compartir, como ostras y camarones picantes.",+52 33 1117 5390,"C. Volcán Popocatépetl 6569, Colli Urbano, 45140 Zapopan, Jal., México",Marisquería, Abre a las 11:30a.m. del dom,Zapopan
Vincent Chapalita,vincent.com.mx,None Found,+52 33 3647 0005,"Av de Las Rosas, Aurora &, Chapalita Oriente, 45040 Zapopan, Jal., México",Bar restaurante, Cierra a las 12a.m.,Zapopan
La Humadera,,None Found,+52 33 3121 0620,"Av. Niño Obrero 502, Las Flores, Camino Real, 45040 Zapopan, Jal., México",Restaurante, Cierra a las 11p.m.,Zapopan
Cantina La 20 | Guadalajara,,None Found,+52 33 1514 5705,"The landmark Av. Patria 188, Puerta de Hierro Zapopan, 45116 Guadalajara, Jal., México",Restaurante mexicano, Cierra a las 2a.m.,Zapopan
Cantina La 20 | Guadalajara,,None Found,+52 33 1514 5705,"The landmark Av. Patria 188, Puerta de Hierro Zapopan, 45116 Guadalajara, Jal., México",Restaurante mexicano, Cierra a las 2a.m.,Zapopan
Quilombo,,None Found,+52 33 3110 6432,"Av. Ludwig Van Beethoven 5144, La Estancia, 45030 Zapopan, Jal., México",Restaurante argentino, Cierra a las 11:30p.m.,Zapopan
La Madalena Guadalajara,,None Found,+52 33 3113 2146,"Plaza Corporativa, P.º de los Virreyes 45-Local V16, Puerta de Hierro, 45116 Zapopan, Jal., México",Restaurante, Cierra a la 1a.m.,Zapopan
The Cheesecake Factory Galerías Guadalajara,thecheesecakefactory.com.mx,"Cadena estadounidense que sirve grandes porciones de un amplio menú, incluida su emblemática tarta de queso.",+52 33 3682 0617,"Col. Colbarrio No. 150 Locales IS3-1 e IS3-2, Av Rafael Sanzio, La Estancia, 45030 Zapopan, Jal., México",Restaurante americano,,Zapopan
Restaurante ¿Qué Pachó? La Gran Plaza,quepachorestaurante.com,None Found,+52 33 3621 1600,"Local O-9, Av. Ignacio L Vallarta 3959, Jardines de Los Arcos, 45049 Zapopan, Jal., México",Restaurante mexicano, Cierra a las 8p.m.,Zapopan
OCHO CUERVOS Winehouse & Food,,None Found,+52 33 3502 4180,"Av. Niño Obrero 858, Cd de los Niños, 45040 Zapopan, Jal., México",Restaurante, Cierra a las 12a.m.,Zapopan
Los Sencillitos Asado Argentino,losencillitos.com,Restaurante alegre con mesas cubiertas al aire libre y platos de carne tradicionales argentinos.,+52 33 9688 7216,"Av el Colli 1923 A, Colli Urbano, 45070 Zapopan, Jal., México",Restaurante argentino, Cierra a las 11p.m.,Zapopan
Lulio Restaurante,,None Found,+52 33 3627 6469,"Av. Sebastian Bach 5344, La Estancia, 45030 Zapopan, Jal., México",Restaurante, Cierra a las 10p.m.,Zapopan
La Perla del Pacífico suc. Clouthier,facebook.com,None Found,+52 33 3673 2883,"Av Manuel J. Clouthier 479, Lomas de Guadalupe, 45020 Zapopan, Jal., México",Marisquería, Cierra a las 3a.m.,Zapopan
Ohlala Panadería Bistró,ohlala.com.mx,None Found,+52 33 1562 6995,"Av. Sebastian Bach 5074, Real Vallarta, 44670 Guadalajara, Jal., México",Restaurante francés, Cierra a las 8p.m.,Zapopan
Ohlala Panadería Bistró,ohlala.com.mx,None Found,+52 33 1562 6995,"Av. Sebastian Bach 5074, Real Vallarta, 44670 Guadalajara, Jal., México",Restaurante francés, Cierra a las 8p.m.,Zapopan
El Juan y El Diego Restaurante,facebook.com,None Found,+52 33 3647 0785,"Av. Niño Obrero 820-3, Chapalita Oriente, 45040 Zapopan, Jal., México",Restaurante de desayunos,,Zapopan
Mariscos Satory,,Un restaurante-bar informal con mesas al aire libre que ofrece platillos de Japón y mariscos estilo México.,+52 33 1028 7613,"Las Torres 741, Paraísos del Colli, 45069 Zapopan, Jal., México",Marisquería, Cierra a las 8p.m.,Zapopan
Hato Ramen,hato.mx,"Restaurante tranquilo en el que se sirven ramen y otros platos típicos japoneses, además de sake y cerveza.",+52 33 3366 9072,"Av Aztlán 3588-Local 07, Cd del Sol, 45050 Zapopan, Jal., México",Restaurante especializado en ramen, Cierra a las 11p.m.,Zapopan
A La Tostada,facebook.com,None Found,+52 33 2226 0476,"Zapopan, Jal., Mexico Sebastian Bach 4722 Prados Vallarta, Prados Guadalupe, 45020 Zapopan, Jal., México",Marisquería, 7:30p.m. ,Zapopan
SSAM La Perla,instagram.com,None Found,+52 33 3632 2006,"Av. Mariano Otero 3000-Int. B-111, Jardines del Sol, 45050 Zapopan, Jal., México",Restaurante, Cierra a las 11p.m.,Zapopan
Restaurante La Gorda · Chapalita,facebook.com,"Antojitos, carnes asadas y cocina tradicional de México en un restaurante casual con mesas en el exterior.",+52 33 3647 7133,"Av Guadalupe 1569, Chapalita, 45050 Zapopan, Jal., México",Restaurante mexicano, Cierra a las 12a.m.,Zapopan
Restaurante La Gorda · Chapalita,facebook.com,"Antojitos, carnes asadas y cocina tradicional de México en un restaurante casual con mesas en el exterior.",+52 33 3647 7133,"Av Guadalupe 1569, Chapalita, 45050 Zapopan, Jal., México",Restaurante mexicano, Cierra a las 12a.m.,Zapopan
Campomar Chapalita,campomar.mx,Restaurante tradicional con un amplio menú de platos enormes de mariscos y bebidas.,+52 33 3333 0502,"San Dionisio 33, Jardín de San Ignacio, 45040 Zapopan, Jal., México",Restaurante, 7p.m. ,Zapopan
Mariscos El Memin - El Mesón,,None Found,+52 33 2844 6594,"Carlos Dickens 35, Jardines Vallarta, 45010 Zapopan, Jal., México",Marisquería, Cierra a las 8p.m.,Zapopan
Surem Bacanora Steak House,,None Found,+52 33 2237 2284,"Av Guadalupe 4955-local 10, Jardines del Tepeyac, 45034 Zapopan, Jal., México",Restaurante especializado en filetes,,Zapopan
